idno;cntry;nwspol;netusoft;netustm;ppltrst;pplfair;pplhlp;polintr;psppsgva;actrolga;psppipla;cptppola;trstprl;trstlgl;trstplc;trstplt;trstprt;trstep;trstun;vote;contplt;wrkprty;wrkorg;badge;sgnptit;pbldmn;bctprd;pstplonl;clsprty;prtdgcl;lrscale;stflife;stfeco;stfgov;stfdem;stfedu;stfhlth;gincdif;mnrgtjb;freehms;hmsfmlsh;hmsacld;euftf;imsmetn;imdfetn;impcntr;imbgeco;imueclt;imwbcnt;happy;sclmeet;inprdsc;sclact;crmvct;aesfdrk;health;hlthhmp;atchctr;atcherp;hinctnta;hincfel;Random;
2562;NO;10;5;60;5;7;3;3;3;4;3;3;7;8;6;4;3;5;7;1;2;2;2;2;2;2;2;2;2;6;7;7;9;7;7;4;4;3;5;1;5;1;5;2;2;2;7;5;4;8;4;2;2;2;3;1;3;8;6;7;2;0,999395833;
30850986;NL;90;5;180;5;7;6;2;3;2;3;2;6;7;7;6;6;3;5;1;2;2;2;2;2;2;2;2;1;2;5;8;6;5;7;6;6;2;5;1;5;4;5;2;2;2;6;6;5;8;6;2;4;2;2;1;3;7;7;4;1;0,980703728;
5189;IL;90;5;90;7;4;4;1;1;3;1;3;6;8;6;7;7;5;5;1;2;2;2;2;2;2;1;2;2;6;5;8;0;0;0;7;7;2;4;2;2;5;88;3;3;3;6;7;6;9;4;2;3;1;3;1;3;10;0;88;1;0,682288119;
1949;LT;25;3;6666;7;7;6;4;8;1;2;1;5;8;8;5;5;6;88;2;2;2;2;2;2;2;2;2;2;6;5;9;5;5;8;4;6;2;3;2;4;2;10;1;1;2;8;8;5;9;4;3;3;2;3;2;3;10;6;77;1;0,714551956;
408;CH;1080;1;6666;7;8;6;2;4;3;3;2;7;7;8;6;6;5;5;1;2;2;2;2;1;2;2;2;1;2;3;8;8;7;7;8;8;1;4;2;5;2;8;1;1;1;8;7;7;8;2;4;2;1;2;2;3;8;8;2;2;0,849656097;
1871;SE;15;5;480;9;9;8;3;2;3;5;2;5;7;7;5;5;6;6;1;2;2;1;2;2;2;2;2;1;2;7;9;5;3;6;6;6;2;5;2;5;3;6;1;1;1;5;7;7;9;6;6;3;2;1;2;3;9;7;8;1;0,857908598;
2271;ES;60;5;180;7;7;6;2;3;2;3;3;5;4;7;3;3;5;5;1;2;2;2;2;2;2;2;1;1;2;3;5;3;1;1;2;2;2;5;1;5;2;5;1;1;1;6;8;5;7;4;1;2;1;2;2;3;8;7;3;4;0,612771251;
1527;BE;15;1;6666;5;10;6;4;2;1;2;1;5;6;8;4;4;5;6;2;2;2;2;2;2;2;2;2;2;6;3;7;7;8;5;9;7;2;2;2;4;2;8;2;3;3;4;6;4;7;4;3;2;1;3;4;1;6;5;2;3;0,436958812;
6424;PL;45;1;6666;5;3;3;3;3;3;3;3;7;3;0;5;3;3;3;2;2;2;2;2;2;2;2;2;2;6;3;4;3;2;2;8;4;1;2;3;2;4;77;2;2;2;3;7;88;8;7;1;3;2;1;3;3;5;5;1;2;0,758509264;
19100032;DE;30;4;30;2;5;5;3;1;1;1;5;1;5;7;0;0;2;2;1;2;2;2;2;1;2;2;2;1;3;8;7;6;3;3;4;8;1;3;2;5;4;6;2;2;2;6;6;5;7;4;4;2;2;3;4;1;2;2;77;2;0,445993037;
254;LT;180;1;6666;7;7;7;4;1;1;1;1;5;8;9;6;5;6;5;1;2;2;2;2;2;2;2;2;1;2;5;7;6;5;7;8;7;1;5;5;2;5;10;4;4;4;6;1;3;8;4;1;3;2;2;2;3;9;7;6;2;0,762631768;
301;IT;30;1;6666;5;0;3;3;1;2;2;1;6;3;7;5;5;4;6;8;2;2;2;2;2;2;2;2;2;6;77;7;2;4;5;0;0;8;4;2;5;5;3;3;2;1;3;3;2;6;5;1;3;2;2;3;3;10;5;3;2;0,535319684;
10001246;DE;60;1;6666;7;9;8;2;4;2;2;2;8;7;8;8;8;7;6;1;2;2;2;2;1;1;2;2;1;2;5;9;8;6;7;4;6;2;2;2;5;3;8;1;2;3;7;8;7;8;6;4;4;2;3;2;3;8;7;1;2;0,7970432;
187;BE;90;5;240;8;8;7;1;1;2;1;3;6;8;8;4;2;5;7;3;2;1;2;2;1;2;2;2;1;4;6;9;6;6;7;7;8;4;5;1;5;3;8;2;2;2;5;7;7;8;4;6;2;1;1;2;3;7;8;10;1;0,43800095;
1577;LT;10;5;180;6;6;6;3;2;2;2;1;7;10;10;7;7;10;10;1;2;2;2;2;2;2;2;2;1;2;10;7;7;7;7;7;7;1;1;4;2;4;7;4;4;4;7;4;4;7;3;1;1;2;3;1;3;7;5;9;2;0,311256317;
1107;ES;60;5;300;7;8;2;2;3;3;3;5;4;0;7;3;3;6;7;1;2;2;1;1;1;1;1;1;2;6;4;7;3;2;4;3;5;4;5;1;5;1;8;2;2;2;8;8;7;8;5;3;4;1;2;3;3;7;5;88;1;0,372424215;
5404;IT;90;5;240;7;6;6;3;1;2;2;2;5;5;6;3;3;3;5;1;1;2;2;2;2;1;2;1;2;6;6;7;4;2;2;8;6;1;3;2;4;4;9;3;3;4;0;2;3;7;7;2;3;1;3;2;3;8;7;4;3;0,998958342;
10005792;DE;60;2;6666;5;8;8;3;2;2;2;2;2;3;9;0;5;3;8;1;2;2;2;1;2;1;2;2;1;4;2;7;5;3;5;8;5;2;4;2;4;4;3;1;2;2;8;5;3;9;3;1;4;2;2;2;3;8;8;5;2;0,904772487;
10503;FI;60;5;0;8;10;8;1;3;2;3;3;7;7;8;6;6;8;8;3;2;2;1;1;1;2;2;2;2;6;9;8;6;5;6;9;8;3;4;1;5;2;7;2;1;2;8;10;8;8;6;4;2;1;2;1;3;0;6;88;2;0,656692669;
570;FR;420;5;60;5;5;5;3;2;1;4;2;3;4;5;3;3;3;3;1;2;2;1;2;1;2;1;2;1;6;7;6;2;2;2;4;5;2;5;1;5;3;3;3;4;3;4;1;3;5;7;4;3;2;3;3;3;10;6;5;2;0,368213406;
3311;SE;20;5;240;5;5;3;3;2;4;2;4;7;5;5;4;5;6;6;2;1;2;1;2;1;1;1;1;2;6;4;4;7;5;6;3;6;8;5;1;5;5;6;1;1;1;7;8;8;4;6;4;3;2;1;2;3;5;0;3;3;0,441535999;
1860;BE;75;5;60;5;5;6;2;3;1;3;2;7;8;10;10;9;10;10;1;2;2;2;2;2;2;2;2;1;2;7;10;7;10;10;10;10;4;4;4;1;5;8;3;4;4;5;4;3;9;5;3;4;1;3;5;1;10;9;3;3;0,760725819;
1040;RU;30;5;120;0;77;0;2;2;1;1;1;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;6;88;8;5;88;8;4;3;4;3;7;7;5;1;8;4;4;3;2;2;77;2;1;3;2;1;3;3;9;0;77;2;0,039497901;
1140;SE;10;2;6666;5;6;6;3;3;1;2;1;4;3;3;4;4;88;6;1;2;2;2;2;1;2;1;2;1;2;7;8;5;4;5;7;7;2;5;1;5;1;7;1;1;1;4;6;5;9;3;2;1;2;2;2;3;10;10;4;1;0,698720314;
740;AT;20;5;180;2;4;5;3;2;2;2;2;2;4;6;1;1;3;3;3;2;2;2;2;2;2;2;2;2;6;5;7;4;2;3;8;9;2;3;3;3;3;1;3;4;4;1;3;4;8;6;2;2;2;3;1;3;5;5;77;3;0,937093305;
10007535;DE;60;5;120;3;4;5;3;1;1;1;2;3;8;2;1;4;5;3;1;2;2;2;2;2;2;2;2;2;6;5;4;4;3;2;5;4;3;3;1;5;1;2;3;4;3;2;1;2;6;5;2;3;1;3;2;3;4;4;3;3;0,727988482;
2039;CH;5;1;6666;8;8;3;3;3;1;3;8;6;7;7;6;6;4;4;2;1;2;2;2;2;2;2;2;2;6;77;6;5;4;5;8;7;2;2;8;8;8;5;3;3;3;7;7;7;7;1;0;1;2;2;2;3;8;5;9;2;0,233824129;
921;CH;60;5;120;6;7;8;2;3;2;3;3;5;8;8;6;6;1;1;1;2;2;2;2;1;2;1;1;2;6;5;8;9;6;7;5;7;2;4;2;4;4;0;2;3;3;5;6;4;7;5;3;2;2;1;3;2;6;1;3;1;0,532065807;
12228;FI;5;5;90;7;9;5;3;2;2;2;3;6;8;9;4;5;7;5;1;2;2;1;2;2;2;2;2;1;2;6;10;7;6;8;8;6;3;5;3;5;5;5;2;2;2;5;6;5;9;5;1;2;2;2;2;2;6;3;8;1;0,785877854;
10005193;DE;30;5;300;5;4;6;2;2;3;3;3;4;8;8;3;2;3;3;1;1;2;1;2;1;2;1;2;1;2;3;9;7;2;4;8;6;2;5;2;4;4;7;1;3;3;7;5;5;9;5;5;4;2;2;4;2;9;7;6;1;0,781520095;
551602179;EE;60;1;6666;7;5;7;3;1;1;1;1;88;88;5;88;1;1;88;2;1;2;2;2;2;2;2;2;2;6;88;7;6;88;88;6;4;8;4;8;8;8;1;2;3;3;88;88;2;7;2;2;1;2;3;5;1;8;88;1;3;0,773653406;
551602779;EE;0;5;300;3;4;3;4;1;1;1;1;88;88;5;1;88;88;6;3;2;2;2;2;2;2;2;2;2;6;88;8;88;88;5;7;4;2;5;1;3;3;88;2;3;3;5;5;5;7;7;4;3;2;1;1;3;5;6;1;3;0,152742436;
2824;BE;30;5;60;5;6;6;3;2;1;2;2;5;7;7;6;6;6;6;1;2;2;2;2;2;2;2;2;2;6;5;8;6;6;5;7;7;2;4;2;3;3;5;2;3;3;5;6;6;8;7;4;3;2;2;1;3;6;5;4;1;0,540002419;
3902;IE;60;5;330;5;7;7;3;2;2;2;1;2;2;9;4;2;1;2;1;1;2;1;2;2;2;2;2;2;6;5;7;4;6;8;4;4;2;5;1;4;2;4;1;1;2;7;9;10;9;3;2;3;2;1;1;3;9;6;4;3;0,632914568;
5014;PL;120;3;6666;5;8;1;2;2;2;3;2;3;4;3;3;3;4;4;2;2;2;2;2;2;2;2;2;2;6;88;5;5;5;5;3;4;2;4;2;4;8;1;2;4;2;5;5;6;8;4;3;3;1;3;2;3;8;6;77;2;0,695593819;
100000180;GB;60;1;6666;6;88;8;1;1;1;2;1;0;8;6;0;0;0;0;2;1;2;2;2;2;2;2;2;1;3;5;7;4;0;4;4;2;2;3;2;4;2;4;2;2;3;1;5;3;8;7;3;3;2;2;4;1;10;6;5;2;0,499370298;
928;AT;20;5;90;7;7;6;2;3;2;2;2;6;6;8;4;5;4;5;1;1;2;1;2;1;2;2;2;1;2;6;9;4;4;6;5;7;2;5;2;8;8;6;1;2;3;6;3;3;9;6;5;4;2;1;1;3;8;6;7;2;0,716379302;
2993;RU;30;5;120;5;6;5;2;2;2;2;2;5;6;6;5;4;4;4;2;2;2;2;2;2;2;2;2;8;6;5;7;7;6;6;6;7;2;2;3;2;5;88;2;3;4;4;5;5;8;7;0;3;2;2;2;3;6;1;1;3;0,687127598;
2373;RU;465;1;6666;5;7;2;2;1;2;1;1;7;6;4;7;6;88;88;1;2;2;2;2;2;2;2;2;1;3;6;3;88;7;88;6;4;3;3;5;5;5;88;3;4;4;4;2;5;3;6;2;1;2;2;3;1;7;6;1;3;0,915721788;
11378;FI;30;5;225;7;8;7;2;2;4;3;3;7;10;9;4;6;7;9;1;1;2;1;2;1;2;2;1;2;6;7;9;2;0;8;7;8;2;4;2;4;2;4;2;3;3;1;7;3;9;5;3;3;1;2;1;3;9;7;1;3;0,490525956;
2541;RU;30;5;180;6;6;4;3;8;1;2;1;6;3;5;6;5;5;3;2;2;2;2;2;2;2;2;2;2;6;88;6;7;6;5;2;2;3;5;7;2;4;4;2;2;3;6;5;5;7;4;3;8;2;2;2;3;5;3;88;2;0,254440979;
100004657;GB;30;1;6666;7;8;8;3;2;2;2;1;8;6;9;5;5;7;7;1;2;2;2;2;2;2;2;2;1;1;88;6;6;6;6;10;8;1;4;1;5;3;5;2;2;2;5;5;5;8;1;4;1;2;2;3;3;10;5;4;2;0,583471582;
3394;AT;60;1;6666;7;9;7;3;2;2;2;2;4;5;6;2;2;2;2;1;2;2;2;2;2;2;2;2;2;6;5;9;5;4;4;7;7;3;3;2;4;5;3;4;3;3;4;3;3;9;4;3;2;1;1;2;3;9;4;77;1;0,864988761;
1307;BE;60;5;120;6;8;7;1;3;4;3;2;7;9;5;8;7;8;9;3;2;2;2;2;2;1;1;2;2;6;2;8;8;8;8;8;9;2;5;1;5;1;6;1;1;2;5;10;10;8;6;4;4;2;2;1;3;9;9;10;1;0,896113149;
10000862;DE;15;5;360;4;7;5;3;3;3;3;2;8;7;6;5;6;8;8;3;2;2;1;2;2;2;2;1;2;6;0;9;5;8;9;7;88;4;5;1;5;2;88;1;1;1;6;7;5;9;7;4;1;2;4;3;3;5;7;9;2;0,997131867;
1827;LT;70;1;6666;7;8;6;3;3;2;3;2;6;9;8;10;9;9;8;1;2;2;2;2;2;2;2;2;2;6;8;10;8;9;8;10;10;1;4;5;2;4;5;3;3;3;7;9;8;9;2;1;1;2;3;3;2;9;5;6;1;0,919526449;
10000308;DE;20;5;240;5;8;5;3;3;3;4;4;4;10;10;2;2;4;8;1;1;2;2;2;1;2;2;2;1;3;5;8;8;4;9;2;2;4;5;2;4;3;10;1;2;2;8;8;7;8;5;3;3;1;2;1;3;3;5;8;2;0,010595749;
2724;BE;300;1;6666;0;5;8;1;2;5;3;5;7;6;7;6;6;7;7;1;1;1;2;1;1;2;2;2;1;2;7;8;8;8;8;8;7;1;2;1;2;1;8;2;3;2;6;7;7;8;6;5;3;2;2;3;3;7;4;7;2;0,67386556;
10003435;DE;15;5;420;5;6;5;3;2;2;3;2;5;7;7;5;5;5;3;3;2;2;2;2;1;2;1;2;2;6;7;5;5;3;5;7;7;2;4;2;4;2;5;2;3;2;5;3;3;3;6;3;3;2;3;2;3;8;5;6;1;0,32725269;
2380;IT;120;3;6666;4;4;4;3;1;1;2;2;8;7;8;6;6;7;7;1;2;2;2;2;2;2;2;2;2;6;7;7;7;7;5;5;5;2;4;4;2;4;2;3;3;4;3;4;5;7;6;2;3;2;2;2;3;8;7;7;2;0,360868323;
5390;IL;240;1;6666;9;5;8;1;1;1;1;2;10;10;8;9;9;9;9;1;2;2;2;2;2;1;2;2;1;1;1;9;5;5;5;1;10;1;2;5;3;4;4;2;2;2;6;6;6;8;6;1;3;2;2;4;2;5;0;1;3;0,012760882;
133;IT;1193;5;510;6;4;4;3;3;2;2;2;4;5;7;3;4;5;5;3;2;2;2;2;2;2;2;2;2;6;5;6;6;4;4;8;4;2;4;2;4;2;7;1;1;1;4;7;5;6;6;2;3;2;2;3;3;5;5;77;1;0,161250626;
3109;RU;120;4;150;6;6;6;2;3;3;4;4;6;6;7;6;8;7;6;1;2;2;2;1;2;2;2;2;1;2;77;7;6;5;8;4;3;1;4;4;1;4;1;2;2;2;8;8;7;8;7;2;5;2;2;2;3;8;5;4;3;0,63609259;
30751622;NL;60;5;60;7;8;5;2;3;2;2;2;7;7;4;6;6;7;7;1;2;2;2;2;2;2;2;2;1;3;5;10;8;7;5;6;4;2;5;2;5;2;4;2;2;2;5;7;6;10;6;4;3;2;3;1;3;9;8;10;1;0,789721937;
2035;RU;70;1;6666;5;1;1;2;3;3;4;5;6;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;1;2;5;1;3;1;0;2;3;2;4;2;2;2;3;3;3;3;4;6;5;5;7;4;4;2;1;3;3;3;1;1;4;0,579653602;
1201;ES;60;1;6666;8;8;4;4;8;1;8;1;8;6;10;5;5;88;88;1;2;2;2;2;2;2;2;2;2;6;88;6;88;88;8;88;88;8;8;8;8;8;88;8;8;8;88;88;2;6;7;2;1;2;1;4;2;9;3;1;2;0,616891489;
10003814;DE;15;5;30;7;9;8;2;3;2;3;2;8;10;10;8;8;8;8;3;2;2;2;2;2;2;2;2;1;2;5;8;7;8;8;9;8;8;4;2;4;2;8;2;2;2;5;9;8;8;4;3;3;2;2;2;3;8;8;5;2;0,732428716;
1359;NO;60;5;180;5;7;8;2;1;3;2;3;7;9;9;8;8;8;9;1;2;2;2;2;2;2;2;2;2;6;3;8;8;6;6;6;9;2;5;1;5;2;1;2;4;4;0;1;2;8;7;3;3;2;1;1;3;7;2;3;2;0,273103824;
14000106;DE;30;2;6666;2;7;1;2;2;2;2;3;5;8;8;6;5;1;8;1;2;2;2;2;2;2;2;2;2;6;1;8;8;8;8;7;8;1;3;2;4;2;5;2;2;2;5;5;5;8;3;4;2;2;2;2;3;9;1;5;2;0,297353448;
551602640;EE;60;4;360;5;5;3;3;2;2;2;2;2;4;6;3;3;3;4;1;2;2;2;1;2;2;2;2;2;6;2;8;2;2;3;7;6;2;4;4;3;5;5;3;3;4;4;7;4;8;4;1;3;2;2;2;3;10;3;4;3;0,664414107;
714;LT;70;5;270;5;4;3;3;3;1;3;1;5;7;7;5;6;7;7;2;2;2;2;2;2;2;2;2;2;6;4;7;5;6;2;7;7;1;5;2;2;5;7;2;2;4;4;4;4;8;4;2;1;2;3;2;1;8;4;6;3;0,67082073;
777;CZ;60;3;6666;1;4;3;3;2;1;1;1;6;9;9;4;1;3;5;1;2;2;2;2;2;2;2;2;2;6;1;8;2;8;7;8;8;3;5;1;3;5;0;4;4;4;0;0;0;2;6;1;2;2;2;3;2;9;7;1;3;0,662682823;
551601613;EE;60;1;6666;5;5;5;4;1;1;1;1;5;7;7;2;1;6;2;1;2;2;2;2;2;2;2;2;2;6;5;6;3;3;10;10;6;2;2;3;2;4;0;4;4;4;2;2;0;6;5;3;1;2;1;4;3;10;10;4;2;0,209743176;
830;AT;30;5;14;0;0;3;4;1;1;1;1;3;3;3;5;5;3;3;3;2;2;2;2;2;2;2;2;2;6;5;8;3;3;3;8;8;2;2;5;5;5;0;2;4;4;0;2;3;9;6;2;3;2;3;1;3;10;2;4;2;0,797020469;
15000197;DE;29;1;6666;5;6;4;2;2;1;2;2;7;8;8;5;7;8;8;2;2;2;2;2;2;2;2;2;1;6;2;3;7;7;6;8;9;2;4;2;5;5;6;1;3;2;8;5;7;8;2;4;2;2;2;4;1;9;5;5;2;0,445409173;
81;HU;60;4;20;8;10;9;2;2;2;2;2;10;8;6;8;8;7;7;1;2;2;2;2;2;2;2;2;1;2;10;7;7;9;6;10;8;1;1;3;1;5;10;2;3;2;0;8;2;10;6;4;3;2;1;3;2;10;10;1;4;0,842618269;
2756;CH;90;4;10;8;7;6;2;2;1;2;2;8;9;9;5;6;88;7;1;2;2;2;2;2;2;2;2;1;2;6;10;7;8;9;6;9;1;5;1;5;5;2;3;3;3;5;8;5;10;6;5;3;2;1;1;3;10;10;7;1;0,477556985;
2559;CH;60;4;30;3;7;6;2;3;2;3;3;5;5;7;7;5;5;7;1;2;2;2;2;2;2;2;2;1;2;7;9;7;6;7;7;7;2;4;3;2;4;7;3;3;3;6;6;6;9;6;2;3;2;1;2;3;9;7;7;2;0,325510299;
265;RU;30;3;6666;6;3;3;2;3;2;2;2;7;6;4;4;6;7;5;2;2;2;2;2;2;2;2;2;2;6;77;7;6;6;7;8;8;2;3;3;1;3;7;1;1;1;5;6;6;7;3;1;3;2;2;1;3;9;5;7;3;0,499674802;
2372;IE;90;5;225;7;9;9;3;3;3;3;3;9;10;9;7;9;8;8;1;2;2;2;2;2;2;2;2;2;6;7;8;8;5;7;7;5;1;5;1;5;2;8;2;3;3;7;8;8;7;3;4;3;2;1;1;3;7;8;77;1;0,803190559;
6670;IS;150;5;240;9;8;5;3;1;4;2;3;1;4;3;0;0;5;5;1;1;1;1;1;1;2;2;1;2;6;5;7;2;0;1;4;5;1;3;3;5;3;8;2;3;3;4;7;5;6;6;1;3;2;1;4;1;8;4;4;3;0,238182968;
1930;NO;110;5;60;7;2;6;2;4;3;4;3;8;10;8;10;8;9;9;1;1;2;1;2;2;2;2;1;1;2;9;10;10;10;10;8;9;2;2;2;5;1;7;2;2;3;8;8;3;9;6;4;5;1;2;2;3;10;7;3;1;0,941688377;
2645;CH;30;4;600;1;3;5;2;3;2;3;2;7;7;9;4;5;5;5;3;2;2;2;2;2;2;2;1;2;6;7;10;5;6;7;9;7;2;3;2;4;3;8;1;1;1;2;2;9;9;7;4;4;2;2;2;3;7;2;10;1;0,40169392;
4472;PL;60;1;6666;3;3;3;4;1;1;1;1;1;1;5;1;1;88;88;1;2;2;2;2;2;2;2;2;2;6;7;88;2;88;88;88;7;8;8;5;3;5;88;3;3;8;88;88;2;8;5;0;2;2;2;3;3;8;2;7;2;0,275759181;
764;CH;30;1;6666;3;5;5;3;3;2;2;3;5;5;5;5;5;5;5;1;2;2;2;2;2;2;2;2;2;6;5;7;7;6;5;8;8;1;2;2;3;3;5;2;3;8;5;4;4;8;4;4;3;2;1;2;3;5;5;77;3;0,618331751;
2521;CZ;45;2;6666;6;6;6;3;2;1;2;1;8;8;7;8;8;7;6;1;2;2;2;2;1;2;1;2;7;6;4;8;8;8;3;8;77;2;2;4;2;5;4;3;4;4;5;88;77;7;4;4;3;1;3;4;2;9;7;77;2;0,866540426;
4772;IE;60;1;6666;5;5;7;2;4;3;3;3;7;5;6;7;7;9;7;1;2;1;1;2;2;2;1;2;1;1;7;9;7;7;8;10;10;3;4;1;4;2;8;1;3;2;7;7;7;10;6;4;4;2;1;1;3;10;9;77;1;0,894471018;
279;IT;60;2;6666;6;6;6;2;2;2;2;2;3;5;5;2;2;1;2;1;2;2;2;2;2;1;2;2;1;3;0;7;4;5;5;6;6;3;4;1;4;3;8;3;3;3;7;6;3;7;5;1;3;2;2;2;3;9;8;77;1;0,331814967;
1094;NO;60;5;7777;7;8;8;2;2;3;2;3;7;5;6;5;5;5;5;2;2;2;2;2;1;2;1;2;1;2;6;8;8;7;9;6;8;4;5;1;5;3;5;1;1;1;5;5;5;8;6;3;2;1;1;2;3;9;8;88;2;0,865996264;
2667;IL;30;5;120;6;5;6;3;1;2;1;1;5;6;3;2;2;1;1;1;1;2;2;2;1;2;1;2;2;6;5;10;3;2;6;6;5;2;5;1;5;2;4;1;3;2;6;7;7;9;6;4;3;2;1;2;2;10;3;77;1;0,812135877;
1526;LT;45;4;105;5;8;5;3;1;1;1;1;2;3;5;1;1;2;4;2;2;2;2;2;2;2;2;2;2;6;5;7;5;4;2;5;5;1;2;3;2;4;3;2;2;2;5;3;4;7;4;1;2;2;2;3;2;9;2;6;2;0,248296539;
2434;NO;60;5;50;4;3;3;2;2;2;2;2;2;3;3;1;2;2;2;1;2;2;2;2;2;2;2;2;1;2;6;4;1;3;2;5;4;5;4;2;4;4;3;3;3;3;1;0;0;4;1;0;2;1;2;4;2;10;0;2;2;0,367698467;
10007817;DE;60;3;6666;2;5;4;2;2;4;1;3;6;4;8;5;5;7;8;1;2;1;1;2;2;2;2;1;1;1;0;0;5;3;4;2;8;1;4;1;5;1;8;1;3;3;10;10;6;9;3;2;2;2;1;3;2;7;9;1;4;0,62924067;
263;ES;120;5;120;2;2;1;1;1;2;2;4;0;0;6;0;0;0;2;1;2;2;2;2;2;2;2;1;1;3;5;10;0;0;6;0;1;2;5;2;5;1;5;2;2;1;6;6;6;10;7;2;3;2;1;1;3;9;9;10;2;0,644806052;
4027;IT;90;4;70;4;6;4;4;2;1;8;2;5;5;5;3;2;3;3;1;2;2;2;2;1;2;2;2;7;6;77;7;2;1;88;8;4;2;5;3;3;5;10;3;3;3;7;9;5;8;6;1;3;2;2;1;3;8;8;88;2;0,879986275;
10003980;DE;60;2;6666;5;5;3;3;1;2;1;1;2;4;4;8;10;10;9;1;1;2;1;2;1;2;2;2;2;6;6;2;0;7;3;3;0;5;3;2;4;3;0;2;2;2;7;5;5;8;5;3;3;2;1;4;2;7;3;2;2;0,485097346;
10823;FI;30;5;60;8;8;4;2;2;2;3;2;3;6;8;3;3;4;7;1;2;2;2;2;1;2;2;1;1;2;6;8;4;4;8;8;5;2;5;1;5;4;3;2;3;3;2;5;3;9;6;3;4;1;3;2;2;10;6;5;2;0,350190786;
13048;FI;90;5;90;8;5;7;2;2;1;2;1;6;7;9;7;7;5;7;2;2;2;1;2;2;2;1;2;2;6;6;10;2;5;7;8;6;3;5;1;5;4;5;2;2;3;5;5;5;9;4;4;3;2;1;2;3;9;5;8;2;0,31200459;
1319;SE;60;5;240;9;9;5;1;3;5;3;4;9;9;7;6;6;7;8;1;1;2;1;2;1;1;1;1;1;3;5;9;5;6;2;2;2;2;5;1;5;1;8;2;2;2;7;10;7;6;7;6;5;2;1;2;3;10;8;8;1;0,99237166;
3466;RU;8888;1;6666;2;2;3;3;1;1;1;1;0;3;3;0;0;0;0;2;2;2;2;2;2;2;2;2;2;6;7;3;1;1;1;1;1;2;1;4;2;5;88;3;8;8;2;5;1;3;2;1;1;2;2;3;2;10;0;1;4;0,375072291;
11693;FI;60;5;120;10;9;10;2;3;5;3;3;6;8;8;5;5;6;8;1;1;2;1;2;1;1;1;1;1;2;2;8;4;0;3;8;8;2;5;1;5;1;7;1;1;1;8;10;8;8;6;5;4;1;1;1;3;10;8;7;2;0,109534028;
2996;NO;90;1;6666;9;9;7;2;2;3;2;3;3;3;5;5;4;0;5;1;2;2;2;2;2;2;1;2;1;1;4;8;5;4;4;6;5;2;4;2;3;3;0;8;2;2;5;2;5;10;4;5;3;2;1;2;3;10;2;8;1;0,957368731;
4437;IE;30;5;510;5;8;7;2;3;3;3;3;6;5;6;4;4;6;7;1;2;2;2;2;2;2;2;2;1;2;3;7;5;5;6;7;6;2;5;1;5;2;6;2;2;2;6;8;8;7;2;1;2;2;1;2;3;7;6;6;2;0,96217994;
11310589;NL;180;5;60;8;8;7;1;2;1;2;1;3;6;7;3;3;3;7;1;2;2;1;2;1;2;1;2;2;6;3;9;7;3;6;5;7;1;4;1;5;1;5;1;1;1;7;7;8;9;5;3;2;2;1;4;1;6;8;8;1;0,206486557;
100002975;GB;180;5;540;5;6;6;1;5;5;5;5;9;5;6;9;9;0;1;1;1;1;1;1;2;1;2;1;1;1;8;8;8;10;10;4;4;5;5;3;5;1;0;2;3;4;0;1;1;7;4;1;2;2;1;2;3;9;0;88;1;0,237460299;
2427;HU;25;5;120;4;0;2;2;2;3;2;1;4;6;7;0;2;0;5;2;2;2;2;2;2;2;2;1;2;6;6;10;1;1;5;4;3;3;5;3;1;5;10;1;3;3;6;88;6;10;5;3;4;2;2;2;3;10;6;77;1;0,08852961;
2320;IE;60;3;6666;6;7;4;3;2;1;2;1;2;5;7;1;1;1;5;1;2;2;2;2;1;2;1;1;2;6;5;8;4;3;3;4;0;2;5;2;4;3;2;2;2;2;2;0;4;7;5;3;2;2;2;1;3;10;2;6;2;0,436938768;
4685;IE;15;5;60;2;7;2;3;2;2;2;2;6;3;3;4;3;4;4;1;2;2;2;2;2;2;2;2;2;6;88;5;2;2;88;6;1;2;4;2;4;4;2;2;2;3;2;3;4;6;5;3;3;2;2;2;3;10;4;88;1;0,85835833;
146;SI;30;5;60;6;7;5;2;3;3;3;3;7;6;6;6;5;3;2;1;1;1;2;2;1;2;2;2;1;2;5;7;7;6;5;7;7;3;4;2;3;4;9;2;3;3;2;5;3;7;3;3;4;2;2;3;3;10;3;9;2;0,197934115;
1752;IE;10;3;6666;8;9;6;4;1;2;2;1;9;8;6;3;5;0;0;2;1;2;2;2;1;2;2;2;2;6;8;2;1;1;1;10;5;2;2;2;4;2;9;2;2;3;5;7;8;0;3;2;1;2;3;4;1;10;0;1;2;0,86356736;
1773;SE;60;4;270;6;6;5;3;2;2;4;2;5;6;7;4;4;7;7;1;1;2;2;1;2;2;2;1;1;3;7;7;4;3;5;3;4;2;4;2;5;4;7;2;2;2;3;7;5;7;3;4;2;2;3;2;3;8;4;10;2;0,691324832;
5381;PL;10;5;30;4;3;1;2;2;2;2;2;0;4;9;3;2;3;5;2;2;2;2;2;2;2;2;2;2;6;3;8;4;3;2;3;4;4;4;2;4;4;88;3;4;4;0;2;4;7;2;2;2;2;2;2;3;8;6;7;2;0,689192376;
