idno;cntry;nwspol;netusoft;netustm;ppltrst;pplfair;pplhlp;polintr;psppsgva;actrolga;psppipla;cptppola;trstprl;trstlgl;trstplc;trstplt;trstprt;trstep;trstun;vote;contplt;wrkprty;wrkorg;badge;sgnptit;pbldmn;bctprd;pstplonl;clsprty;prtdgcl;lrscale;stflife;stfeco;stfgov;stfdem;stfedu;stfhlth;gincdif;mnrgtjb;freehms;hmsfmlsh;hmsacld;euftf;imsmetn;imdfetn;impcntr;imbgeco;imueclt;imwbcnt;happy;sclmeet;inprdsc;sclact;crmvct;aesfdrk;health;hlthhmp;atchctr;atcherp;hinctnta;hincfel;Random;
6750;PL;30;5;360;8;7;4;1;4;3;3;2;2;7;8;4;3;7;4;1;2;2;1;1;1;1;1;1;1;2;0;8;6;0;2;7;5;2;5;1;5;1;8;2;2;2;10;10;10;8;3;5;2;2;2;2;3;9;7;10;2;0,006736608;
124;AT;15;5;60;7;8;7;4;2;2;1;2;7;10;10;5;5;4;4;1;2;2;2;2;2;2;2;2;2;6;5;9;5;8;7;8;9;1;5;2;5;2;4;3;3;4;4;4;4;7;6;4;3;2;1;1;3;8;3;2;2;0,274898241;
1787;NO;0;5;8888;8;5;3;4;2;1;2;4;5;5;10;2;2;2;2;2;2;2;2;2;2;2;2;2;2;6;5;9;4;4;7;9;10;4;5;1;5;4;0;2;2;2;3;5;7;8;1;4;3;2;1;3;3;5;3;6;2;0,318826144;
2488;RU;160;1;6666;10;9;9;2;3;1;1;1;3;2;4;3;5;7;7;1;2;2;2;2;2;2;2;2;1;2;9;4;1;10;1;1;3;2;5;5;1;5;88;4;4;4;0;0;0;5;6;3;3;2;2;3;3;10;3;2;4;0,748851346;
10002609;DE;120;5;120;8;4;6;3;2;1;1;1;3;0;4;1;1;2;2;1;2;2;2;2;2;2;2;2;2;6;1;9;2;0;4;3;4;4;3;2;5;3;5;1;3;3;5;6;5;9;6;5;3;2;2;3;2;9;9;4;2;0,068393879;
2099;BE;30;5;480;7;5;5;2;3;3;2;3;7;7;10;3;6;4;2;1;1;2;2;2;2;2;2;2;1;2;7;7;6;7;7;9;9;2;5;1;5;1;10;1;2;1;8;8;6;8;6;4;3;2;1;3;3;6;9;8;1;0,252827012;
707;LT;10;5;120;3;4;3;3;1;1;1;1;7;9;9;7;7;9;8;2;2;2;2;2;1;2;1;1;2;6;5;7;7;5;6;7;8;3;3;3;3;3;6;4;4;4;7;4;0;6;4;2;1;2;4;2;3;8;6;10;2;0,163269008;
1923;RU;30;2;6666;5;5;4;3;3;3;3;5;6;5;6;5;7;6;6;2;2;2;2;2;1;2;2;2;2;6;5;6;3;3;3;6;3;3;4;4;2;3;8;4;3;4;6;3;4;4;3;2;2;2;2;3;2;5;5;77;1;0,953821755;
1087;LT;90;5;180;4;4;4;2;3;2;3;2;7;9;9;7;7;8;8;1;2;2;2;2;2;2;2;2;2;6;6;8;7;6;3;7;7;2;4;3;2;5;7;2;2;4;5;5;5;7;3;2;3;1;3;2;3;9;3;10;2;0,603373791;
1482;LT;60;1;6666;3;4;3;3;1;1;1;1;1;3;7;2;2;2;2;1;2;2;2;2;2;2;2;2;2;6;5;3;3;3;4;5;3;2;5;2;4;4;5;2;2;2;4;5;6;6;5;3;3;2;2;3;2;1;1;2;2;0,831204991;
475;IE;60;1;6666;10;10;8;4;2;1;2;1;0;0;8;0;0;5;8;1;2;2;2;2;2;2;2;2;1;2;10;10;0;1;10;10;0;2;2;1;5;5;0;2;3;3;0;5;10;10;5;2;3;2;3;1;3;10;0;1;3;0,596379497;
951;IT;600;5;150;5;6;7;4;3;2;2;2;5;6;5;5;5;5;5;3;2;2;2;2;1;1;2;1;2;6;5;7;3;4;6;5;5;2;5;1;5;1;7;1;2;2;5;4;6;7;6;4;3;2;2;2;3;8;8;5;2;0,385212082;
1233;FR;60;1;6666;4;3;5;3;3;2;2;3;3;7;8;3;3;2;2;1;2;2;2;2;2;2;1;2;2;6;3;8;4;4;8;8;6;1;5;1;5;1;4;3;3;3;4;4;3;6;6;2;3;2;3;4;2;8;3;2;2;0,708131565;
1532;IL;180;5;60;1;2;1;3;4;3;4;4;8;9;9;9;7;88;9;2;2;2;2;2;2;2;2;2;1;1;9;10;9;10;10;9;10;2;4;2;3;8;88;1;2;3;10;9;10;10;7;6;2;2;1;1;3;10;3;88;2;0,74065346;
21420308;NL;180;5;480;8;8;8;1;4;2;3;2;7;9;9;6;7;7;7;1;2;2;1;2;1;1;1;2;1;2;3;7;6;6;8;4;4;3;5;1;5;1;5;2;2;2;10;10;6;7;4;2;2;2;2;2;2;10;7;8;1;0,353292859;
860;IE;60;5;150;6;6;5;4;3;1;1;2;88;7;8;88;88;88;88;3;2;2;2;2;2;2;2;2;2;6;5;7;5;4;7;7;6;2;4;2;4;3;7;2;2;2;8;7;8;7;5;4;2;2;2;2;3;9;6;3;2;0,076378639;
12000068;DE;90;2;6666;6;5;4;2;3;1;3;3;7;4;7;7;5;4;6;1;2;2;1;2;1;2;2;2;1;2;6;8;7;6;6;4;7;4;3;1;5;3;9;1;2;3;8;7;5;9;3;4;2;2;3;2;3;10;6;2;1;0,642311226;
2062;HU;90;1;6666;3;3;4;4;1;1;1;1;3;6;6;5;5;3;2;2;2;2;2;2;2;2;2;2;2;6;88;4;4;4;5;4;4;2;4;4;2;4;2;2;3;4;88;88;88;4;2;2;2;2;2;3;3;10;1;2;3;0,398511198;
1557;ES;30;5;840;2;3;1;2;2;2;1;2;8;0;10;3;3;0;0;1;2;1;1;2;2;2;2;2;1;2;8;6;7;7;2;2;3;2;5;1;5;5;0;3;4;4;7;0;0;5;5;2;1;2;3;2;3;77;77;8;2;0,252085294;
2027;IL;10;5;60;4;3;5;2;2;2;3;3;6;3;6;2;2;5;1;1;2;2;2;2;2;2;2;2;1;2;7;6;3;6;6;3;7;1;5;1;5;1;1;1;2;2;6;7;5;3;4;4;1;2;2;1;3;10;2;2;4;0,068565465;
818;IT;60;5;120;5;1;2;2;2;2;1;4;8;5;10;1;5;6;7;1;2;2;1;1;2;2;2;2;2;6;4;10;5;0;88;9;5;1;5;1;5;1;1;2;2;2;9;8;5;10;5;1;3;2;2;1;3;10;10;5;1;0,508347786;
