"","Country","Political Stability","Government Effectiveness","Rule of Law","GDP per capita","Population growth","Political Rights","Civil Liberties"
"1","Albania",0.087552309,-0.124956653,-0.349165231,5332.16047456847,-0.574206959244013,27,40
"2","Andorra",1.616035223,1.816116333,1.68827486,37207.4938608348,1.76189129507448,39,55
"3","Armenia",-0.760855317,-0.274477035,-0.104187101,4505.86736397124,-0.533006606500067,21,32
"4","Austria",0.912809432,1.645901203,1.801011682,48809.2268762243,0.415176731565556,37,56
"5","Azerbaijan",-0.839061499,-0.116941825,-0.716367126,4229.91064904503,0.684365325388407,2,8
"6","Belarus",-0.895924509,-0.798498213,-1.053738832,6542.79749130553,-0.42347525027949,5,14
"7","Belgium",0.543469667,1.116143942,1.360301852,45517.7949301847,0.430996815099722,39,57
"8","Bosnia and Herzegovina",-0.443297356,-1.043453574,-0.290586531,6012.06276705855,-1.26677102311527,19,34
"9","Bulgaria",0.418060213,-0.182731494,-0.105334796,10129.8129597638,-0.60024151846542,34,46
"10","Croatia",0.611546874,0.461028814,0.258851081,14198.7539594744,-0.433210220837755,36,49
"11","Cyprus",0.308603942,0.875510335,0.574943423,28036.189453125,0.705573414651573,38,56
"12","Czech Republic",0.922095716,0.949175954,1.051819682,22992.8793833348,0.243222682211879,36,55
"13","Denmark",0.950011313,1.881267548,1.847981572,60915.4243995462,0.291641177476633,40,57
"14","Estonia",0.718465984,1.334767699,1.37280345,23595.2436836441,0.197559185177642,38,56
"15","Finland",1.005103469,1.939224124,2.066255569,49170.7521512441,0.143641197212847,40,60
"16","France",0.324910909,1.239420533,1.320556998,39055.2829280754,0.271350507669993,38,52
"17","Georgia",-0.415690362,0.753325582,0.243921533,4255.74299321254,0.0686562494680967,24,37
"18","Germany",0.684574544,1.352196813,1.549539328,46772.8253507545,0.0816931586494595,39,55
"19","Greece",0.13121371,0.437608153,0.315227628,17658.9473011192,-0.214592106571664,37,51
"20","Hungary",0.843145311,0.573773086,0.508961439,16120.9890495243,-0.215067837129585,27,43
"21","Iceland",1.381934285,1.514867783,1.788674116,59200.1779441092,1.6230862512591,37,57
"22","Ireland",0.978661597,1.471392989,1.490071774,85420.1908556097,1.02911050277336,39,58
"23","Italy",0.428431302,0.393574446,0.235660911,31911.0357890017,-0.487095091717782,36,53
"24","Kazakhstan",-0.256105691,0.137930825,-0.443739504,9121.63713797145,1.29863532544565,5,18
"25","Latvia",0.474999398,0.874574065,0.949904144,18207.1396408631,-0.701211570733301,37,52
"26","Liechtenstein",1.693371892,1.8145926,1.752746582,157754.954373893,0.709498302393315,33,57
"27","Lithuania",0.927757382,1.050779223,0.985400498,20339.5212699052,0.0267667582795671,38,53
"28","Luxembourg",1.230695248,1.832707167,1.782572985,117370.496900162,1.66635867423273,38,60
"29","Malta",1.014233351,1.031469941,0.909834623,28977.5655673636,2.21120767752363,35,55
"30","Moldova",-0.348765284,-0.514038086,-0.467885017,4500.62446389838,-1.09803165876287,26,34
"32","Montenegro",-0.059554223,-0.07089214,-0.01262544,7677.15222569996,-0.116139360968958,22,40
"33","Netherlands",0.859951735,1.843825102,1.748748064,52162.5701150406,0.55554079025497,40,59
"34","North Macedonia",0.108251318,0.063724369,-0.082664944,5965.45023195365,-0.200664046750733,24,39
"35","Norway",1.246279836,1.927046537,1.972491264,67329.6777910967,0.588757324043059,40,60
"36","Poland",0.516105413,0.359848201,0.529685378,15816.989398397,-0.175062058196296,35,49
"37","Portugal",1.021689177,1.015471339,1.177211642,22242.406417972,0.10511412524675,39,57
"38","Romania",0.53186214,-0.257351339,0.392174125,13047.4320617591,-0.550759892541776,35,48
"39","Russian Federation",-0.683706701,-0.077657536,-0.787609994,10169.0869140625,-0.230950388878624,5,15
"41","Serbia",-0.163741484,-0.010254648,-0.100547984,7733.80286920471,-0.666107601320794,23,43
"42","Slovak Republic",0.632325232,0.537019551,0.673871577,19545.7428171932,0.0857694756149868,36,52
"43","Slovenia",0.710935533,1.158009291,1.060341001,25545.2410027136,0.669754656164979,39,55
"44","Spain",0.437478542,0.887231767,0.894206524,26959.6754367326,0.488502131838585,38,54
"45","Sweden",1.026380301,1.709824443,1.797250509,52837.9039778149,0.722703912882934,40,60
"46","Switzerland",1.191661119,2.010252953,1.817349553,85656.322666307,0.730676195047382,39,57
"47","Turkiye",-1.136895299,-0.127560288,-0.408490777,8561.07094781987,0.780048417598582,16,16
"48","Ukraine",-1.137996554,-0.382993966,-0.690148473,3751.74072265625,-0.574242470135943,27,35
"49","United Kingdom",0.491468996,1.368001223,1.489148855,40318.5575660493,0.365409432414506,39,55
