N_reg;Region;urbanpopulation;internet;transfers;democracy_index;reg_disttomoscow;reg_tempjan;reg_ur2011;reg_kdshare;reg_mincome;reg_levelofunempl;reg_heductoempd;reg_pop1jan;reg_alcvodka;reg_alcbeer;reg_mobile;reg_grp;ethnic;turnout_2011;turnout_2016;protest_events;reg_ur2016;media2017
38;Irkutsk;79,5;47,4;18420,8;41;5042;-25,4;34,93;27,79;17820;7,8;25,9;2424355;11;85,2;3970,5;743764,1;0;47,1;34,7;63;0,3977;1
39;Kaliningrad;77,5;64,9;15793,9;36;1289;-1,3;37,07;25,54;19456;7,4;31,3;946796;15;56,9;1787,8;264621,7;0;54,6;44,1;106;0,4339;2
40;Kaluga;75,9;58,3;7687,1;34;188;-7;40,42;21,91;20742;4,3;26,9;1008229;11,6;57,9;1585;288475,6;0;57,6;43,1;16;0,4575;2
41;Kamchatka Krai;77,1;63,2;34324,2;32;11876;-15,5;45,25;17,08;31764;5,8;33,5;320156;16,8;77,8;561,8;126984,3;0;53,6;39,5;10;0,467;2
42;Kemerovo;85,5;50,8;15601,8;24;3482;-20;64,24;10,51;18511;7,1;23,5;2750829;13,2;80,3;3939,9;717700;0;69,4;86,8;16;0,7733;1
43;Kirov;74,8;58,4;15790,3;31;896;-11,8;34,9;22,68;16733;7,1;21,8;1327915;15;82,1;1949,2;212370,5;0;54;41,9;127;0,3796;1
44;Kostroma;70,5;52,5;8206;28;372;-10;30,74;28,85;15867;4,8;24,6;661764;13;59,7;1182,7;131622,5;0;57,3;39,4;4;0,3656;1
45;Kurgan;60,7;57,9;15001,9;24;1973;-18,3;44,41;19,63;16129;8,7;24,2;896264;8,3;85,8;;144842,3;0;56,5;41,8;33;0,4151;1
46;Kursk;66,5;49,2;12048,2;22;536;-6,2;45,72;20,71;18866;5,1;28,9;1121563;8,4;75,3;1284,1;253831,2;0;54,7;47;0;0,517;1
47;Leningrad;65,2;64,1;10971;35;651;-6,3;33,03;17,39;17967;3,2;26,1;1733907;17,2;128,4;;673916,1;0;51,5;44,1;21;0,5004;2
48;Lipetsk;64;49,9;8473,7;28;508;-7,6;40,09;22,89;19829;3,6;23,3;1165916;9,1;77,7;1729,6;294862,6;0;56,9;52,6;4;0,5619;2
49;Magadan;95,8;52,1;11588,1;30;7110;-25,5;41,04;22,75;36620;3,4;27,9;154485;17,3;55,4;267,5;76875,3;0;52,6;40,6;1;0,4469;1
50;Moscow region;81,4;51,6;70975,5;32;0;-7,4;32,83;25,54;30572;2,9;38;6955051;13,3;108,6;;2440282,7;0;51;38,2;163;0,4599;2
51;Murmansk;92,7;73,6;8437,3;33;1967;-9;32,02;21,76;28932;7,7;28,1;787948;12,5;51,9;1783,6;280325,6;0;51,9;39,7;61;0,4198;2
52;Nizhny Novgorod;79,1;61;21673,6;38;439;-9,9;44,56;28,77;21732;5,4;26,4;3296947;11,2;51,8;5146,3;838598,9;0;58,9;44,5;88;0,5815;2
53;Novgorod;70,5;59,8;12043,3;33;606;-6,4;34,58;19,51;19547;4,1;23,7;629748;14,3;47,8;1172,5;172315,5;0;56,6;39,9;0;0,4005;1
54;Novosibirsk;77,9;53,8;23392,4;39;3191;-21;33,84;30,25;20728;5,6;31,7;2686863;11,2;84,4;3430,4;659543,7;0;56,8;34,9;110;0,3826;3
55;Omsk;71,8;59,2;18412,4;29;2555;-20;39,61;25,57;19495;6,9;26;1974820;6,8;126,9;3131,4;498522,8;0;55,7;38,7;81;0,3632;2
56;Orenburg;59,7;53,6;14744,7;31;1478;-12,6;34,89;26,18;16542;5,4;22,4;2023665;6,4;66,6;3178,1;629369,8;0;51,2;41,7;32;0,4085;2
57;Oryol;65,8;55,8;11392,9;26;382;-6,3;38,99;31,98;16827;5,3;29;781281;8,7;64,6;1295,1;146139,6;0;64,7;53,6;40;0,4793;1
58;Penza;67,7;37;21729,2;27;709;-9,3;56,3;19,83;15924;4,9;28,2;1376538;8,3;87,4;2078,1;240334,9;0;64,9;60,6;199;0,6426;1
59;Perm krai;75,1;51,5;13596,2;42;1386;-13,9;36,28;21,02;23329;6,3;22,1;2631073;11,5;85,4;4124,4;897597,6;0;48,1;35,2;46;0,4265;2
60;Pskov;70,3;51,1;10621,7;35;689;-5,5;36,65;25,13;16294;6,6;23,2;666924;15,6;51,7;1121,8;108191,2;0;52,9;42,1;28;0,4515;1
61;Rostov;67,7;53,8;36933,6;25;1226;-4,8;50,22;20,85;18107;6;29,1;4260643;5,2;44,6;6428,2;840280,5;0;59,3;48,2;74;0,5879;1
62;Ryazan;71;40,4;13717,2;31;196;-8,8;39,79;23,58;17652;4,6;25,4;1148457;8,8;70,9;1853;247219,1;0;52,7;43,3;68;0,5452;1
63;Samara;80,3;64,2;18186,6;41;1098;-10,4;39,37;23,13;24696;3,4;35,6;3214065;10;61,9;5794,3;941611,3;0;53;52,9;276;0,5077;2
64;Saratov;74,8;56,6;19698,6;28;858;-10;64,89;13,8;14280;5,4;28,1;2508754;8,7;50,3;3961,7;477352,4;0;67,3;64,5;37;0,6817;2
65;Sakhalin;80,8;55,3;8242,7;35;10417;-10,2;41,91;23,43;32721;7,7;23,1;495402;20,3;67,3;720,4;641602,9;0;49,1;37,1;21;0,4544;2
66;Sverdlovsk;84,1;63,4;19111,5;43;1667;-15,6;32,71;16,82;27852;5,8;25,4;4307594;12,7;97,4;7152,4;1484447,4;0;51,2;41,5;183;0,4053;3
67;Smolensk;72,5;58,9;12100,6;27;419;-6,8;36,23;24,24;18305;5,7;27,9;980482;12,3;57;1703,6;201311,3;0;49,6;40,4;10;0,4813;1
68;Tambov;59,1;40,5;21919;28;480;-8,4;66,66;16,46;17449;4,9;24,3;1082545;8,6;69,9;1508,9;203266,6;0;68,3;49,3;65;0,6351;1
