"","clmt_binary","age","gndr","lr_scale","Age"
"978",1,"> 65","Female",1,88
"979",1,"36-50","Male",0,40
"980",1,"25-35","Male",2,30
"981",1,"25-35","Male",0,33
"982",1,"25-35","Male",2,33
"983",1,"50-65","Male",0,55
"984",1,"36-50","Female",2,42
"985",1,"25-35","Male",0,29
"986",1,"> 65","Female",0,68
"987",1,"36-50","Female",NA,49
"988",1,"> 65","Male",NA,67
"989",1,"> 65","Female",0,76
"990",1,"> 65","Female",NA,72
"991",1,"50-65","Male",0,63
"992",1,"36-50","Female",5,48
"993",1,"25-35","Male",0,27
"994",1,"50-65","Male",0,62
"995",1,"50-65","Female",0,59
"996",1,"50-65","Female",3,51
"997",NA,"> 65","Female",NA,67
"998",0,"50-65","Female",5,55
"999",1,"25-35","Female",3,31
"1000",1,"50-65","Female",0,60
"1001",1,"> 65","Male",-1,73
"1002",1,"50-65","Female",NA,61
"1003",0,"18-24","Female",NA,21
"1004",0,"50-65","Male",0,58
"1005",1,"> 65","Male",0,71
"1006",1,"18-24","Female",-2,23
"1007",1,"50-65","Male",-4,65
"1008",0,"25-35","Female",-2,26
"1009",1,"50-65","Female",NA,65
"1010",1,"> 65","Female",NA,71
"1011",1,"25-35","Female",5,25
"1012",1,"50-65","Male",0,60
"1013",1,"50-65","Male",5,63
"1014",1,"50-65","Female",NA,58
"1015",1,"25-35","Female",1,33
"1016",1,"36-50","Female",NA,36
"1017",NA,"25-35","Female",NA,28
"1018",0,"18-24","Male",0,23
"1019",0,"18-24","Male",3,22
"1020",1,"50-65","Male",0,63
"1021",1,"50-65","Female",1,53
"1022",1,"18-24","Female",0,20
"1023",1,"36-50","Female",5,36
"1024",1,"50-65","Female",3,60
"1025",1,"50-65","Female",2,52
"1026",1,"50-65","Female",NA,64
"1027",0,"50-65","Female",3,54
"1028",1,"> 65","Male",NA,71
"1029",0,"50-65","Male",-5,62
"1030",1,"50-65","Male",0,56
"1031",1,"> 65","Male",-3,74
"1032",1,"36-50","Male",-3,50
"1033",1,"50-65","Male",-1,52
"1034",0,"18-24","Female",5,21
"1035",1,"18-24","Female",0,24
"1036",1,"25-35","Male",5,26
"1037",1,"50-65","Male",0,52
"1038",NA,"36-50","Female",NA,42
"1039",NA,"36-50","Female",NA,49
"1040",1,"36-50","Female",0,41
"1041",1,"50-65","Female",NA,60
"1042",1,"36-50","Male",0,45
"1043",NA,"50-65","Female",0,56
"1044",1,"36-50","Female",NA,50
"1045",0,"> 65","Male",0,69
"1046",0,"50-65","Male",3,58
"1047",NA,"50-65","Male",NA,60
"1048",1,"50-65","Female",NA,53
"1049",1,"> 65","Female",4,68
"1050",1,"36-50","Male",5,45
"1051",1,"18-24","Female",-4,22
"1052",1,"25-35","Female",3,26
"1053",1,"50-65","Female",NA,58
"1054",1,"36-50","Male",NA,42
"1055",1,"> 65","Female",0,72
"1056",1,"> 65","Female",NA,68
"1057",1,"> 65","Female",2,71
"1058",1,"> 65","Male",NA,67
"1059",1,"50-65","Male",NA,52
"1060",1,"36-50","Male",0,48
"1061",1,"> 65","Male",NA,66
"1062",1,"> 65","Female",2,69
"1063",1,"25-35","Male",NA,30
"1064",0,"50-65","Female",0,53
"1065",1,"50-65","Female",0,56
"1066",1,"25-35","Female",2,33
"1067",1,"> 65","Female",NA,71
"1068",1,"50-65","Female",NA,58
"1069",1,"25-35","Male",3,28
"1070",1,"25-35","Male",0,28
"1071",1,"25-35","Male",NA,35
"1072",1,"36-50","Female",0,41
"1073",1,"18-24","Female",NA,21
"1074",1,"> 65","Female",NA,68
"1075",1,"18-24","Male",NA,22
"1076",1,"50-65","Female",NA,56
"1077",1,"25-35","Male",NA,27
"1078",1,"50-65","Female",-4,55
"1079",1,"50-65","Male",0,57
"1080",1,"36-50","Female",0,43
"1081",1,"18-24","Male",0,21
"1082",1,"50-65","Female",0,52
"1083",1,"> 65","Male",0,81
"1084",1,"36-50","Male",0,40
"1085",1,"25-35","Female",0,35
"1086",1,"> 65","Female",NA,70
"1087",1,"36-50","Female",NA,39
"1088",1,"36-50","Male",1,43
"1089",0,"50-65","Male",0,56
"1090",0,"> 65","Female",NA,78
"1091",NA,"> 65","Male",NA,74
"1092",0,"> 65","Male",NA,75
"1093",1,"25-35","Male",NA,29
"1094",0,"50-65","Male",0,58
"1095",0,"> 65","Female",NA,79
"1096",1,"36-50","Female",NA,49
"1097",0,"50-65","Male",NA,55
"1098",0,"50-65","Female",0,65
"1099",NA,"25-35","Female",0,26
"1100",0,"25-35","Male",NA,34
"1101",1,"> 65","Female",0,66
"1102",1,"25-35","Male",NA,31
"1103",1,"18-24","Female",1,20
"1104",1,"25-35","Female",0,25
"1105",0,"25-35","Male",NA,27
"1106",1,"18-24","Female",NA,22
"1107",1,"25-35","Male",NA,26
"1108",1,"18-24","Male",NA,23
"1109",1,"18-24","Male",-2,24
"1110",1,"18-24","Female",2,19
"1111",NA,"18-24","Female",0,24
"1112",1,"36-50","Male",0,46
"1113",1,"25-35","Male",NA,29
"1114",1,"> 65","Male",-1,67
"1115",1,"25-35","Male",0,26
"1116",1,"18-24","Male",0,23
"1117",0,"36-50","Female",0,46
"1118",1,"25-35","Male",NA,26
"1119",1,"> 65","Female",NA,70
"1120",1,"25-35","Male",3,26
"1121",1,"25-35","Female",0,25
"1122",1,"> 65","Male",1,80
"1123",0,"25-35","Male",0,25
"1124",0,"> 65","Female",0,75
"1125",1,"36-50","Female",0,38
"1126",1,"50-65","Female",NA,53
"1127",NA,"36-50","Male",NA,36
"1128",1,"36-50","Male",0,49
"1129",1,"> 65","Male",0,77
"1130",0,"50-65","Male",NA,58
"1131",1,"> 65","Male",2,78
"1132",1,"> 65","Female",2,69
"1133",1,"> 65","Female",1,72
"1134",NA,"> 65","Female",2,67
"1135",1,"36-50","Female",3,46
"1136",1,"50-65","Male",1,61
"1137",1,"> 65","Male",2,72
"1138",1,"36-50","Male",0,42
"1139",1,"> 65","Female",2,68
"1140",1,"36-50","Female",2,45
"1141",1,"> 65","Female",1,69
"1142",1,"18-24","Male",3,24
"1143",0,"18-24","Female",NA,15
"1144",1,"> 65","Female",2,69
"1145",NA,"25-35","Male",2,34
"1146",1,"18-24","Male",0,19
"1147",1,"50-65","Male",0,53
"1148",1,"50-65","Female",NA,56
"1149",1,"25-35","Female",0,30
"1150",0,"36-50","Male",NA,37
"1151",1,"36-50","Female",NA,49
"1152",1,"36-50","Female",NA,45
"1153",1,"25-35","Female",NA,33
"1154",NA,"25-35","Male",NA,28
"1155",0,"36-50","Male",5,40
"1156",0,"50-65","Male",3,55
"1157",0,"> 65","Female",NA,78
"1158",1,"> 65","Female",NA,68
"1159",1,"25-35","Male",2,25
"1160",1,"18-24","Female",3,21
"1161",1,"> 65","Female",NA,78
"1162",0,"36-50","Female",-1,49
"1163",0,"36-50","Female",2,38
"1164",1,"36-50","Male",1,43
"1165",1,"25-35","Male",NA,30
"1166",0,"50-65","Male",-3,64
"1167",1,"25-35","Female",-3,27
"1168",1,"18-24","Female",-3,23
"1169",1,"> 65","Male",NA,74
"1170",0,"> 65","Female",NA,80
"1171",1,"> 65","Male",1,76
"1172",1,"36-50","Male",NA,40
"1173",1,"> 65","Female",5,77
"1174",1,"36-50","Female",NA,40
"1175",1,"36-50","Female",NA,39
"1176",1,"50-65","Female",0,65
"1177",1,"36-50","Male",NA,39
"1178",1,"> 65","Male",-1,76
"1179",0,"50-65","Male",-1,64
"1180",1,"50-65","Male",0,52
"1181",1,"> 65","Female",-4,68
"1182",1,"50-65","Female",NA,54
"1183",1,"50-65","Female",2,61
"1184",1,"36-50","Male",0,39
"1185",1,"25-35","Male",-1,34
"1186",1,"> 65","Male",-5,72
"1187",1,"50-65","Female",0,58
"1188",1,"18-24","Male",0,24
"1189",1,"> 65","Female",NA,76
"1190",1,"50-65","Female",-3,62
"1191",1,"> 65","Female",-1,68
"1192",1,"18-24","Male",4,20
"1193",1,"36-50","Female",0,50
"1194",1,"50-65","Female",NA,64
"1195",0,"50-65","Female",3,55
"1196",NA,"50-65","Male",-1,60
"1197",1,"36-50","Male",0,36
"1198",1,"36-50","Female",NA,43
"1199",0,"50-65","Female",NA,60
"1200",1,"> 65","Female",0,70
"1201",0,"25-35","Female",2,30
"1202",0,"25-35","Male",NA,28
"1203",1,"25-35","Male",1,32
"1204",1,"25-35","Male",0,35
"1205",1,"50-65","Male",0,51
"1206",NA,"18-24","Female",NA,18
