"","year","region","wine","beer","vodka","champagne","brandy","district"
"157",1999,"Tula Oblast",2.7,32.9,13,0.5,0.1,"Central"
"158",1999,"Tyumen Oblast",4.1,34.4,13.5,0.7,0.3,"Ural"
"159",1999,"Udmurt Republic",2.3,16.7,13.9,0.6,0.2,"Volga"
"160",1999,"Ulyanovsk Oblast",1.1,46.3,10.6,0.3,0.1,"Volga"
"161",1999,"Khabarovsk Krai",4.6,30,16.4,1.1,0.4,"Far Eastern"
"162",1999,"Republic of Khakassia",2.9,48.7,15.1,1.1,0.6,"Siberian"
"163",1999,"Khanty-Mansi Autonomous Okrug (Yugra)",4.1,34.4,13.5,0.7,0.3,"Ural"
"164",1999,"Chelyabinsk Oblast",4.5,32.5,14,0.9,0.1,"Ural"
"165",1999,"Chechen Republic",NA,NA,NA,NA,NA,"North Caucasian"
"166",1999,"Chuvash Republic",2.8,25.5,10.8,0.4,0.02,"Volga"
"167",1999,"Chukotka Autonomous Okrug",0.4,2.3,6.7,0.6,0.1,"Far Eastern"
"168",1999,"Sakha (Yakutia) Republic",1.8,16.3,17.5,0.5,0.2,"Far Eastern"
"169",1999,"Yamalo-Nenets Autonomous Okrug",4.1,34.4,13.5,0.7,0.3,"Ural"
"170",1999,"Yaroslavl Oblast",3.6,39.6,21.1,0.8,0.2,"Central"
"171",2000,"Republic of Adygea",3.1,27.4,5.4,0.6,0.1,"Southern"
"172",2000,"Altai Krai",2.1,33.2,9.9,1.3,0.1,"Siberian"
"173",2000,"Amur Oblast",2.4,28.5,15.8,0.7,0.2,"Far Eastern"
"174",2000,"Arkhangelsk Oblast",5.5,29.3,19.2,0.9,0.5,"Northwestern"
"175",2000,"Astrakhan Oblast",3.7,31,10,0.6,0.1,"Southern"
"176",2000,"Republic of Bashkortostan",1.4,33.1,12.2,0.2,0.2,"Volga"
"177",2000,"Belgorod Oblast",3.6,20.7,10.1,0.9,0.1,"Central"
"178",2000,"Bryansk Oblast",3,36.4,7.6,0.4,0.1,"Central"
"179",2000,"Republic of Buryatia",1.6,17.1,16.6,0.6,0.03,"Far Eastern"
"180",2000,"Vladimir Oblast",2.3,22.1,14.5,0.5,0.1,"Central"
"181",2000,"Volgograd Oblast",1.8,40.9,9,1.9,0.3,"Southern"
"182",2000,"Vologda Oblast",3.7,33.2,19.2,0.5,0.2,"Northwestern"
"183",2000,"Voronezh Oblast",3.4,24.8,9.1,1.2,0.2,"Central"
