"","away","at"
"1",3.55534806148941,5.34710753071747
"2",4.38202663467388,5.7037824746562
"3",1.09861228866811,1.79175946922805
"4",3.04452243772342,2.89037175789616
"5",2.56494935746154,3.85014760171006
"6",1.38629436111989,3.2188758248682
"7",2.56494935746154,1.38629436111989
"8",2.07944154167984,2.19722457733622
"9",2.89037175789616,5.7037824746562
"10",1.79175946922805,5.7037824746562
"11",2.07944154167984,2.39789527279837
"12",1.09861228866811,1.38629436111989
"13",1.79175946922805,1.38629436111989
"14",2.94443897916644,2.484906649788
"15",1.79175946922805,5.7037824746562
"16",2.77258872223978,4.14313472639153
"17",5.11198778835654,5.7037824746562
"18",4.18965474202643,3.17805383034795
"19",5.11799381241676,5.7037824746562
