Comission;Voters;Com_Ballots;Home_Ballots;Home_B_Box;Com_B_Box;Absentee;Invalid;Rodina;Kommunisty_Rossii;Pensionery;United_Russia;Zelenye;Civic_Platform;LDPR;PARNAS;Partiia_Rosta;Civic_Power;YABLOKO;KPRF;Patriots_of_Russia;A_Just_Russia
PEC ¹139;632;220;1;0;220;0;8;0.0045;0.0409;0.0409;0.3818;0.0091;0;0.2273;0.0091;0.0136;0;0.0091;0.1227;0.0045;0.1
PEC ¹143;1097;327;74;74;327;0;8;0.0199;0.0175;0.0199;0.3865;0.0025;0.005;0.1796;0.005;0.0125;0;0.0324;0.1097;0.0175;0.1721
PEC ¹456;959;225;9;9;225;0;8;0.0256;0.0385;0.0043;0.3974;0.0085;0.0043;0.2393;0.0085;0;0;0.0598;0.0812;0.0128;0.0855
PEC ¹350;234;98;10;10;98;0;8;0.0093;0.037;0.0278;0.4074;0;0.0093;0.1759;0;0.0278;0;0.0278;0.0463;0;0.1574
PEC ¹248;465;182;12;12;182;0;8;0.0103;0.0206;0.0103;0.4124;0.0052;0.0103;0.1959;0.0052;0.0103;0.0052;0.0515;0.0773;0;0.1443
PEC ¹510;629;200;23;23;200;0;8;0.0135;0.0448;0.0224;0.4126;0;0.009;0.1749;0;0.0045;0;0.0135;0.2377;0.009;0.0224
PEC ¹361;798;231;58;58;231;0;8;0.0138;0.0346;0.0277;0.4221;0.0035;0;0.1903;0;0.0069;0;0.1003;0.1176;0.0035;0.0519
PEC ¹142;528;234;6;6;234;0;8;0.0167;0.025;0.0083;0.4375;0.0042;0;0.1667;0.0083;0.0125;0;0.0208;0.0833;0;0.1833
PEC ¹318;566;217;27;27;217;0;8;0.0164;0.0287;0.0205;0.5123;0;0;0.1803;0;0;0.0041;0.0041;0.0943;0.0041;0.1025
PEC ¹482;163;67;10;10;67;0;8;0;0.0649;0.026;0.5325;0;0;0.0779;0;0.013;0;0.013;0.1299;0.013;0.026
PEC ¹353;402;204;39;39;204;0;8;0.0165;0.0082;0.0206;0.7325;0.0041;0.0123;0.0864;0.0082;0;0;0.0206;0.0412;0.0041;0.0123
PEC ¹257;217;107;3;3;107;0;9;0.0182;0.0091;0.0273;0.3364;0.0091;0;0.1364;0;0.0091;0.0091;0.0182;0.1364;0.0182;0.1909
PEC ¹444;970;260;10;10;260;0;9;0.0111;0.0333;0.0148;0.3593;0.0148;0;0.2074;0;0;0;0.0259;0.1926;0.0037;0.1037
PEC ¹140;1880;678;10;10;678;0;9;0.0174;0.0276;0.0233;0.3721;0.0044;0.0015;0.173;0.0203;0.0102;0;0.0102;0.1323;0.0044;0.1904
PEC ¹216;276;177;23;23;177;0;9;0;0.035;0.02;0.39;0.01;0;0.175;0;0.005;0.005;0.015;0.235;0.01;0.055
PEC ¹230;721;208;29;29;208;0;9;0.0127;0.0169;0.0211;0.3966;0.0042;0.0042;0.2447;0;0.0127;0;0.0253;0.1266;0.0253;0.0717
PEC ¹397;1189;491;31;31;490;1;9;0.0058;0.0077;0.025;0.4088;0.0019;0;0.1651;0.0077;0.025;0;0.0691;0.119;0.023;0.1248
PEC ¹305;375;82;53;53;82;0;9;0.0074;0.0296;0.037;0.437;0;0.0148;0.2444;0;0;0;0;0.0963;0;0.0667
PEC ¹388;930;380;19;19;380;0;9;0.0075;0.0276;0.0175;0.4411;0.0025;0;0.1228;0.005;0.0025;0;0.0175;0.1028;0.0025;0.2281
PEC ¹536;526;147;60;60;147;0;9;0.0145;0.0193;0.0145;0.4493;0.0097;0.0145;0.1739;0;0.0145;0;0.0628;0.1208;0.0048;0.058
PEC ¹231;1786;488;24;24;487;1;9;0.0117;0.0254;0.0196;0.4658;0.002;0;0.2681;0.002;0.0098;0;0.0196;0.1115;0.0098;0.0372
PEC ¹261;696;268;12;12;268;0;9;0.0036;0.0107;0.0179;0.4786;0.0107;0;0.1607;0.0071;0.0036;0;0.0214;0.0929;0.0036;0.1571
PEC ¹545;1182;445;32;32;445;0;9;0.0063;0.0147;0.0189;0.4885;0.0063;0;0.2369;0.0063;0.0168;0.0021;0.0419;0.0566;0.0063;0.0797
PEC ¹561;1448;585;2;2;585;0;9;0.0136;0.0187;0.0187;0.5468;0.0068;0.0017;0.1533;0.0085;0.0256;0;0.0307;0.1039;0.0034;0.0528
PEC ¹435;1170;323;42;42;323;0;10;0.0164;0.0329;0.0411;0.2658;0;0.0082;0.1726;0;0.0027;0;0.0247;0.2849;0.0082;0.1151
PEC ¹505;434;197;21;21;197;0;10;0.0046;0.0367;0.0275;0.3945;0.0092;0;0.1881;0.0321;0.0138;0;0.0046;0.1835;0.0046;0.055
PEC ¹222;421;187;3;3;187;0;10;0.0105;0.0421;0.0211;0.3947;0.0158;0;0.2158;0.0211;0.0368;0;0.0158;0.1;0.0211;0.0526
PEC ¹376;1040;291;12;12;291;0;10;0.0066;0.033;0.0297;0.3993;0.0033;0;0.2541;0.0033;0.0165;0.0066;0.0561;0.0759;0.0165;0.066
PEC ¹191;697;244;16;16;244;0;10;0.0077;0.0231;0.0231;0.45;0.0077;0.0038;0.1846;0.0077;0.0192;0;0.05;0.0615;0.0115;0.1115
PEC ¹384;1285;431;24;24;431;0;10;0.011;0.0264;0.0264;0.4549;0.0044;0.0022;0.1451;0.0088;0.0154;0;0.0659;0.1033;0.0044;0.1099
PEC ¹250;633;262;8;8;262;0;10;0.0037;0.0259;0.0296;0.463;0;0;0.1296;0;0.0222;0;0.0296;0.1037;0.0037;0.1519
PEC ¹323;1006;336;25;25;336;0;10;0.0139;0.0443;0.0332;0.4709;0.0028;0.0028;0.2188;0.0083;0.0055;0;0.0249;0.0776;0.0055;0.0637
PEC ¹474;618;211;14;14;211;0;10;0.0133;0.0133;0.0267;0.4711;0;0.0044;0.2311;0.0044;0.0089;0;0.04;0.08;0.0089;0.0533
PEC ¹235;438;201;17;17;201;0;10;0.0046;0.0183;0.0092;0.4771;0.0046;0.0046;0.2156;0.0092;0.0183;0;0.0183;0.0872;0.0046;0.0826
PEC ¹314;1004;283;203;203;283;0;10;0.0082;0.0206;0.0247;0.5226;0.0021;0.0021;0.1481;0.0041;0.0103;0;0.0165;0.1605;0.0041;0.0556
PEC ¹196;367;148;16;16;148;0;10;0;0.0061;0.0244;0.5366;0;0;0.2378;0;0;0;0.0122;0.0549;0.0061;0.061
PEC ¹66;1313;601;13;13;601;0;11;0.0195;0.0391;0.0342;0.2866;0.0212;0.0016;0.1059;0.0163;0.0358;0.0016;0.1368;0.1547;0.0212;0.1075
PEC ¹65;1203;601;58;58;600;1;11;0.0167;0.0228;0.035;0.2948;0.0152;0.0061;0.1246;0.0198;0.0274;0.0015;0.1383;0.1839;0.0274;0.0699
PEC ¹247;923;351;6;6;351;0;11;0.014;0.0252;0.0336;0.3417;0.0084;0.0028;0.2129;0.0056;0.014;0.0056;0.0364;0.1289;0.0056;0.1345
PEC ¹506;687;218;41;41;218;0;11;0;0.0579;0.0386;0.3514;0;0;0.139;0.0077;0.0039;0;0.0232;0.251;0;0.0849
PEC ¹447;617;165;21;21;165;0;11;0.0108;0.043;0.0215;0.4032;0;0.0054;0.1667;0.0054;0.0054;0.0108;0.0161;0.2097;0;0.043
PEC ¹507;528;169;3;3;169;0;11;0.0174;0.0465;0.0174;0.4302;0;0;0.1919;0;0;0;0.0174;0.1337;0.0058;0.0756
PEC ¹380;1358;492;39;39;454;38;11;0.0142;0.0122;0.0223;0.4341;0.002;0.002;0.1988;0.002;0.0041;0;0.1055;0.0974;0.0081;0.0751
PEC ¹329;1093;385;23;23;385;0;11;0.0221;0.0392;0.0319;0.4363;0.0025;0.0025;0.2279;0.0098;0.0025;0;0.0343;0.0931;0.0025;0.0686
PEC ¹214;263;130;17;17;130;0;11;0.0068;0.0408;0.0408;0.449;0;0;0.2585;0;0.0068;0;0.0136;0.0544;0;0.0544
PEC ¹502;1099;407;28;28;407;0;11;0.0115;0.0161;0.0115;0.4506;0;0.0023;0.2253;0;0.0115;0.0046;0.0345;0.1264;0.0046;0.0759
PEC ¹132;893;455;4;4;455;0;11;0.0131;0.0131;0.0218;0.451;0.0109;0.0022;0.1874;0.0044;0.0218;0.0022;0.024;0.0784;0.0044;0.1416
PEC ¹331;790;314;23;23;314;0;11;0.003;0.0267;0.0208;0.5875;0;0;0.184;0.0089;0.0059;0;0.0148;0.0712;0.003;0.0415
PEC ¹59;1459;577;13;13;573;4;12;0.0222;0.029;0.029;0.285;0.029;0.0017;0.1519;0.0102;0.0256;0;0.1348;0.1604;0.0051;0.0956
PEC ¹105;1668;679;4;4;678;1;12;0.0308;0.0205;0.0176;0.3021;0.0235;0.0015;0.129;0.0147;0.0381;0;0.1202;0.1525;0.0059;0.1261
PEC ¹97;1510;697;3;3;696;1;12;0.0186;0.0114;0.0186;0.3219;0.0114;0.0029;0.1388;0.01;0.0186;0.0014;0.1402;0.1402;0.0129;0.1359
PEC ¹292;2518;865;9;9;865;0;12;0.016;0.0229;0.0297;0.3593;0.0069;0.0011;0.2231;0.0092;0.0126;0.0011;0.0503;0.1556;0.0103;0.0881
PEC ¹527;1495;569;7;7;569;0;12;0.0139;0.0156;0.0156;0.3698;0.0087;0;0.2431;0.0174;0.0069;0.0017;0.0434;0.1007;0.0017;0.1406
PEC ¹188;1232;500;17;17;500;0;12;0.0193;0.0155;0.0271;0.4449;0.0135;0.0019;0.207;0.0077;0.0213;0;0.0387;0.087;0.0039;0.089
PEC ¹431;438;124;2;2;124;0;12;0.0079;0.0079;0.0397;0.4524;0.0079;0;0.1508;0;0;0;0.0238;0.119;0;0.0952
PEC ¹534;1649;507;76;76;507;0;12;0.0172;0.0377;0.024;0.458;0.0154;0.0051;0.1715;0.0154;0.0103;0;0.0446;0.1029;0.0154;0.0617
PEC ¹500;826;294;30;30;294;0;12;0.0123;0.0185;0.0123;0.5679;0.0031;0;0.1389;0;0.0031;0;0.0154;0.0926;0.0062;0.0926
PEC ¹498;1046;325;25;25;325;0;13;0.0171;0.0257;0.0286;0.3057;0;0;0.1971;0;0.0171;0;0.0257;0.2286;0.0114;0.1057
PEC ¹28;1505;644;5;5;644;0;13;0.0139;0.0262;0.0293;0.3159;0.0092;0;0.1525;0.0139;0.0262;0.0046;0.1572;0.1525;0.0062;0.0724
PEC ¹60;1880;804;11;11;803;1;13;0.0332;0.0381;0.0209;0.3231;0.0086;0.0012;0.1364;0.0147;0.0246;0.0012;0.129;0.1413;0.0123;0.0995
PEC ¹467;629;201;134;134;201;0;13;0.006;0.0179;0.0179;0.3313;0;0;0.3403;0.009;0.0209;0;0.0299;0.0716;0.0149;0.1015
PEC ¹352;1203;467;29;29;466;1;13;0.0141;0.0303;0.0384;0.3455;0.002;0.004;0.1798;0;0.0101;0;0.1091;0.101;0.004;0.1354
PEC ¹242;1302;453;12;12;453;0;13;0.0086;0.043;0.0258;0.3462;0.0043;0;0.1376;0.0129;0.0065;0.0043;0.0624;0.1075;0.0022;0.2108
PEC ¹40;1744;461;5;5;460;1;13;0.0151;0.028;0.0301;0.3763;0.0065;0.0043;0.1032;0.0129;0.0151;0;0.1333;0.1484;0.0108;0.0882
PEC ¹466;1235;431;13;13;431;0;13;0.0158;0.0225;0.036;0.3784;0.0023;0;0.1667;0.0068;0.0158;0;0.0608;0.0991;0.0045;0.1622
PEC ¹278;391;154;10;12;154;-2;13;0.012;0.0422;0.0301;0.3855;0.006;0.012;0.2048;0.006;0.006;0;0.0181;0.0843;0.0241;0.0904
PEC ¹170;738;219;18;18;219;0;13;0.0253;0.0295;0.0253;0.4051;0;0;0.1772;0.0042;0.0084;0;0.0127;0.1392;0.0042;0.1139
PEC ¹403;867;236;59;59;236;0;13;0.0203;0.0237;0.0271;0.4136;0.0169;0.0034;0.2169;0.0102;0.0169;0;0.0339;0.078;0.0136;0.0814
PEC ¹346;1186;415;19;19;414;1;13;0.0069;0.0185;0.0254;0.4527;0.0069;0;0.1501;0.0023;0.0162;0.0023;0.0947;0.1109;0.0023;0.0808
PEC ¹351;1034;397;11;11;397;0;13;0.0025;0.0147;0.027;0.4534;0.0074;0;0.152;0.0025;0.0074;0;0.0907;0.125;0.0049;0.0809
PEC ¹61;1084;369;29;29;369;0;14;0.0327;0.0251;0.0377;0.2864;0.0151;0.005;0.108;0.005;0.0276;0;0.1307;0.1633;0.0126;0.1156
PEC ¹528;1508;580;2;2;580;0;14;0.0052;0.0292;0.0275;0.2904;0.0052;0.0034;0.2835;0.0069;0.0223;0.0017;0.0447;0.1082;0.0172;0.1306
PEC ¹50;1561;583;12;12;582;1;14;0.0135;0.032;0.037;0.298;0.0135;0.0017;0.1397;0.0084;0.0269;0.0017;0.0976;0.1818;0.0118;0.1128
PEC ¹106;1686;686;4;4;685;1;14;0.0087;0.0189;0.0261;0.3106;0.0189;0;0.1553;0.0087;0.0334;0;0.119;0.1509;0.0261;0.103
PEC ¹49;1666;668;16;16;666;2;14;0.0191;0.0308;0.0176;0.3211;0.0147;0.0015;0.1628;0.0147;0.0293;0.0015;0.132;0.1349;0.0059;0.0938
PEC ¹46;1324;497;6;6;496;1;14;0.0139;0.0279;0.0179;0.3287;0.0159;0;0.1494;0.006;0.012;0;0.1494;0.1355;0.0139;0.1016
PEC ¹232;1016;342;1;1;342;0;14;0.0087;0.0321;0.0262;0.3294;0.0058;0.0029;0.2711;0.0058;0;0;0.0204;0.1283;0.0175;0.1108
PEC ¹113;1806;699;8;8;699;0;14;0.017;0.0283;0.0198;0.3494;0.0099;0.0028;0.2065;0.0085;0.024;0.0014;0.1075;0.099;0.0057;0.1004
PEC ¹135;2370;789;17;17;789;0;14;0.0124;0.0248;0.0223;0.3536;0.0087;0.0025;0.1514;0.0112;0.0136;0.0025;0.0509;0.1352;0.0136;0.1799
PEC ¹404;677;275;23;23;275;0;14;0.0034;0.0336;0.0201;0.3691;0.0067;0;0.2013;0.0034;0.0101;0.0067;0.0705;0.0906;0.0235;0.1141
PEC ¹80;2747;1132;11;11;1124;8;14;0.0176;0.0167;0.0123;0.3736;0.0194;0.0009;0.148;0.0141;0.0299;0.0009;0.1366;0.1128;0.0062;0.0987
PEC ¹530;1334;483;3;3;483;0;14;0.0021;0.0288;0.0288;0.3992;0.0041;0;0.2243;0.0082;0.0123;0;0.0391;0.0905;0;0.1337
PEC ¹299;2353;795;40;40;795;0;14;0.0156;0.0311;0.0204;0.4012;0.0108;0.0072;0.2024;0.0084;0.018;0.0024;0.0263;0.1485;0.0036;0.0874
PEC ¹363;943;327;28;28;326;1;14;0.0028;0.0395;0.0226;0.4068;0.0056;0.0028;0.1299;0.0056;0.0028;0.0028;0.0791;0.0763;0.0085;0.1751
PEC ¹315;1060;415;111;111;415;0;14;0.0095;0.0171;0.0171;0.4087;0.0057;0;0.3194;0.0019;0.0057;0.0019;0.0171;0.1027;0.0057;0.0608
PEC ¹457;1103;317;4;4;316;1;14;0;0.0344;0.0219;0.4313;0.0063;0.0031;0.1719;0.0031;0.0031;0.0063;0.0656;0.0906;0.0094;0.1094
PEC ¹168;1751;573;37;37;573;0;14;0.0098;0.0361;0.0262;0.4377;0.0066;0;0.1541;0.0131;0.0049;0;0.0164;0.1787;0.0066;0.0869
PEC ¹442;590;209;19;19;209;0;14;0.0044;0.0482;0.0351;0.4561;0.0088;0;0.1447;0.0044;0.0088;0;0.0088;0.1535;0.0044;0.0614
PEC ¹54;1395;573;5;5;571;2;15;0.0208;0.026;0.0382;0.2205;0.0156;0.0035;0.1441;0.0174;0.0417;0.0035;0.1302;0.1858;0.0087;0.1181
PEC ¹68;1541;669;15;15;655;14;15;0.0179;0.0328;0.0224;0.2925;0.0194;0.0045;0.1313;0.0179;0.0328;0;0.1209;0.2;0.009;0.0761
PEC ¹51;1313;429;8;8;429;0;15;0.0114;0.0366;0.0366;0.2975;0.0229;0.0092;0.1167;0.0046;0.032;0.0046;0.1098;0.151;0.016;0.1167
PEC ¹70;1266;622;8;8;622;0;15;0.0317;0.0175;0.0286;0.3079;0.0095;0.0048;0.0984;0.0206;0.0317;0.0016;0.1444;0.1571;0.0063;0.1159
PEC ¹95;1517;738;13;13;738;0;15;0.0186;0.0186;0.0186;0.3182;0.012;0.0053;0.1625;0.0027;0.012;0;0.1158;0.1718;0.0053;0.1185
PEC ¹9;2365;782;7;7;782;0;15;0.0368;0.0127;0.019;0.3194;0.0177;0.0089;0.166;0.0127;0.0177;0;0.1305;0.1204;0.0139;0.1052
PEC ¹79;1351;557;10;10;557;0;15;0.0123;0.0159;0.0141;0.3404;0.0159;0.0053;0.1358;0.0123;0.0317;0.0018;0.1411;0.1481;0.0088;0.0899
PEC ¹7;1870;574;4;4;571;3;15;0.0191;0.0191;0.0243;0.3496;0.0139;0.0035;0.1461;0.0104;0.04;0;0.0957;0.1217;0.0191;0.1113
PEC ¹518;1774;650;5;5;650;0;15;0.0046;0.0122;0.0168;0.3573;0.0092;0;0.255;0.0092;0.0183;0.0015;0.0534;0.1023;0.0031;0.1344
PEC ¹228;1496;446;3;3;446;0;15;0.0089;0.0401;0.0223;0.3742;0.0045;0.0022;0.2806;0;0.0089;0;0.0267;0.098;0.0134;0.0869
PEC ¹296;1560;694;7;7;685;9;15;0.0058;0.0246;0.0202;0.3974;0.0058;0.0029;0.2153;0.0043;0.0202;0;0.0462;0.1445;0.0029;0.0882
PEC ¹202;1311;437;66;66;437;0;15;0;0.0219;0.0278;0.3976;0.002;0;0.328;0;0.0099;0;0.0378;0.0855;0.006;0.0537
PEC ¹185;1984;549;15;15;549;0;15;0.0089;0.0284;0.0319;0.4202;0.016;0.0018;0.1933;0.0035;0.0106;0.0018;0.0638;0.1082;0.0071;0.078
PEC ¹295;1621;462;6;6;462;0;15;0.0064;0.0321;0.015;0.4209;0.0064;0.0043;0.2329;0.0192;0.0043;0;0.0256;0.1368;0.0021;0.062
PEC ¹256;847;283;35;35;283;0;15;0;0.0346;0.0314;0.4277;0.0063;0.0031;0.1667;0.0063;0.0094;0.0031;0.022;0.1006;0.0063;0.1352
PEC ¹348;941;421;20;20;421;0;15;0.0045;0.0136;0.0227;0.4286;0.0045;0.0068;0.195;0.0068;0.0227;0;0.0726;0.1202;0.0023;0.0658
PEC ¹150;2203;870;24;24;868;2;15;0.0135;0.0157;0.0157;0.5056;0.0067;0;0.204;0.0011;0.0112;0;0.0235;0.0661;0.0056;0.1143
PEC ¹83;1627;664;13;13;651;13;16;0.0136;0.0331;0.0226;0.2937;0.012;0.0105;0.1386;0.0075;0.0271;0;0.125;0.1943;0.0136;0.0843
PEC ¹62;1601;651;84;84;651;0;16;0.0136;0.0163;0.0286;0.2966;0.0122;0.0109;0.1347;0.0163;0.0395;0;0.1714;0.1755;0.0095;0.0531
PEC ¹120;1457;528;11;11;528;0;16;0.0167;0.0445;0.0204;0.3135;0.0148;0.0037;0.1447;0.0111;0.0204;0;0.1521;0.1373;0.0111;0.0798
PEC ¹112;1712;695;9;9;694;1;16;0.0213;0.0242;0.0256;0.3329;0.0099;0.0099;0.1494;0.0071;0.0256;0.0043;0.1024;0.1337;0.0199;0.111
PEC ¹297;1693;670;15;15;670;0;16;0.0073;0.0292;0.0219;0.3401;0.0058;0.0029;0.2467;0.0058;0.0102;0;0.038;0.1693;0.0073;0.092
PEC ¹383;902;307;22;22;307;0;16;0.0304;0.0091;0.0365;0.3526;0.0122;0.003;0.234;0.0122;0.0061;0.003;0.0517;0.1216;0.0091;0.0699
PEC ¹424;1929;762;10;10;761;1;16;0.0078;0.022;0.022;0.3606;0.0091;0.0026;0.1946;0.0078;0.0052;0;0.048;0.2049;0.0065;0.0882
PEC ¹472;1682;574;34;34;574;0;16;0.0313;0.0247;0.0263;0.3832;0.0099;0.0016;0.1842;0;0.0049;0;0.0905;0.148;0;0.0691
PEC ¹462;2416;903;4;4;903;0;16;0.0044;0.0298;0.0209;0.3837;0.0154;0;0.1786;0.0088;0.0088;0.0033;0.065;0.1378;0.0066;0.1191
PEC ¹277;1228;367;16;27;367;-11;16;0.0076;0.0305;0.0279;0.4467;0.0025;0.0025;0.1853;0;0.0051;0.0025;0.0127;0.1269;0.0076;0.1015
PEC ¹74;1358;534;9;9;532;2;17;0.0296;0.0185;0.0092;0.2717;0.0129;0.0055;0.1405;0.0129;0.024;0.0055;0.1405;0.1738;0.0148;0.1091
PEC ¹529;1109;512;3;3;512;0;17;0.0097;0.0233;0.0233;0.2835;0.0039;0;0.2408;0.0078;0.0097;0;0.0641;0.1417;0.0019;0.1573
PEC ¹27;1563;693;5;5;692;1;17;0.0258;0.0244;0.0215;0.3042;0.0129;0.0029;0.1693;0.0129;0.0187;0;0.1191;0.1679;0.0086;0.0875
PEC ¹58;1486;611;11;11;611;0;17;0.0289;0.0289;0.0241;0.3103;0.0129;0.0064;0.1383;0.0016;0.0177;0;0.1415;0.1592;0.0032;0.0997
PEC ¹87;1468;612;4;4;612;0;17;0.0114;0.0227;0.0244;0.3279;0.0146;0.0097;0.164;0.0065;0.0244;0.0016;0.112;0.1461;0.013;0.0942
PEC ¹531;1150;395;4;4;395;0;17;0.0175;0.0326;0.0226;0.3584;0.01;0.0025;0.2406;0;0.0075;0.0075;0.0326;0.1078;0.01;0.1078
PEC ¹378;1596;539;41;41;539;0;17;0.0069;0.0207;0.0259;0.369;0.0034;0.0034;0.2086;0;0.0276;0;0.05;0.1379;0.0293;0.0879
PEC ¹272;1565;580;9;9;580;0;17;0.0136;0.0289;0.0204;0.3769;0.0068;0.0017;0.1919;0.0051;0.0051;0;0.0272;0.2088;0.0051;0.0798
PEC ¹470;1689;669;1;1;669;0;17;0.0313;0.0299;0.0194;0.3985;0.0075;0;0.1716;0.0045;0.006;0;0.0896;0.1104;0.009;0.097
PEC ¹321;1436;567;20;20;567;0;17;0.0034;0.0324;0.0273;0.3986;0.0068;0.0034;0.1993;0.0034;0.0136;0.0017;0.0256;0.1601;0.0119;0.0835
PEC ¹241;1412;487;9;9;487;0;17;0.004;0.0302;0.0202;0.4133;0.0081;0;0.1492;0.004;0.0101;0.004;0.0464;0.129;0.004;0.1431
PEC ¹347;1812;627;25;25;627;0;17;0.0046;0.023;0.023;0.4187;0.0031;0.0077;0.181;0.0046;0.0107;0.0031;0.0936;0.1135;0.0046;0.0828
PEC ¹555;2526;917;8;8;916;1;17;0.0227;0.0173;0.0292;0.4892;0.0108;0;0.1591;0.0087;0.0271;0.0011;0.0216;0.1169;0.0054;0.0725
PEC ¹67;1258;514;18;18;513;1;18;0.0132;0.0358;0.0358;0.2542;0.0282;0.0038;0.1186;0.0113;0.0188;0;0.1356;0.226;0.0056;0.0791
PEC ¹532;1517;440;1;1;440;0;18;0.0091;0.0227;0.0295;0.263;0.0113;0;0.288;0.0113;0.0227;0;0.0567;0.1451;0.0023;0.0975
PEC ¹75;1223;478;5;5;477;1;18;0.0166;0.0332;0.0332;0.2801;0.0207;0.0062;0.1577;0.0145;0.0207;0;0.1369;0.1722;0.0083;0.0622
PEC ¹85;1633;712;11;11;712;0;18;0.0152;0.0235;0.0194;0.2835;0.0152;0.0041;0.1411;0.0111;0.0194;0;0.1715;0.1646;0.0041;0.1024
PEC ¹92;1451;696;6;6;694;2;18;0.0229;0.0229;0.0243;0.2929;0.0171;0.0014;0.1157;0.02;0.0414;0.0014;0.1357;0.1843;0.0086;0.0857
PEC ¹64;1554;747;12;12;747;0;18;0.0119;0.0237;0.025;0.2951;0.0145;0.0026;0.0975;0.025;0.0461;0.0013;0.1238;0.2003;0.0158;0.0935
PEC ¹226;774;228;3;3;228;0;18;0.0043;0.013;0.0043;0.3074;0.013;0;0.3074;0.0087;0;0;0.013;0.1255;0.0087;0.1169
PEC ¹119;1741;502;19;19;502;0;18;0.0192;0.0134;0.0134;0.3186;0.0038;0;0.1843;0.0173;0.0154;0;0.1631;0.1248;0.0096;0.0825
PEC ¹121;1032;352;114;114;352;0;18;0.0129;0.0258;0.0258;0.3734;0.0021;0;0.2189;0.0021;0.0064;0.0043;0.1116;0.0773;0.0086;0.0923
PEC ¹441;1427;494;23;23;494;0;18;0.0058;0.0329;0.0174;0.3772;0.0058;0.0116;0.2534;0.0058;0.0077;0.0019;0.0658;0.1122;0.0039;0.0638
PEC ¹371;1737;519;71;71;519;0;18;0.0068;0.0305;0.0237;0.4034;0.0034;0.0017;0.1814;0.0068;0.0051;0.0017;0.0864;0.1254;0.0119;0.0814
PEC ¹333;1863;590;26;26;590;0;18;0.013;0.0357;0.0146;0.4416;0.0097;0;0.2045;0.0032;0.0049;0;0.0357;0.1494;0.0049;0.0536
PEC ¹99;1093;508;8;8;500;8;19;0.0098;0.0256;0.0256;0.2638;0.0079;0.0039;0.1339;0.0059;0.0138;0.002;0.1142;0.1535;0.0098;0.1929
PEC ¹72;1313;434;15;15;434;0;19;0.0223;0.02;0.0178;0.2673;0.0067;0.0022;0.1826;0.0045;0.0245;0;0.1448;0.1826;0.0045;0.078
PEC ¹77;1663;671;4;4;671;0;19;0.0252;0.0222;0.0281;0.2948;0.0267;0.0059;0.1407;0.0163;0.0207;0.0015;0.1274;0.1452;0.0119;0.1052
PEC ¹86;2053;753;17;17;752;1;19;0.0299;0.0234;0.0078;0.3121;0.0247;0.0013;0.1365;0.0117;0.0286;0.0013;0.1014;0.2016;0.0091;0.0858
PEC ¹165;2226;746;28;28;746;0;19;0.0168;0.0401;0.022;0.3346;0.0103;0;0.1783;0.009;0.0103;0.0026;0.0491;0.1563;0.0039;0.1421
PEC ¹131;2213;829;4;4;829;0;19;0.0144;0.0132;0.0192;0.3577;0.0144;0;0.1525;0.012;0.0132;0;0.0468;0.12;0.0072;0.2065
PEC ¹458;2170;704;27;27;700;4;19;0.011;0.033;0.0303;0.3989;0.0069;0;0.205;0.0014;0.0151;0;0.0454;0.1142;0.0041;0.1087
PEC ¹552;2315;910;6;6;904;6;19;0.0286;0.0198;0.0275;0.4802;0.0077;0.0033;0.1626;0.0132;0.0198;0.0011;0.0319;0.1121;0.0077;0.0637
PEC ¹41;2237;891;6;6;891;0;20;0.0178;0.0368;0.0301;0.2754;0.0078;0.0011;0.1438;0.0089;0.0145;0;0.1695;0.136;0.0089;0.1271
PEC ¹89;1411;595;14;14;595;0;20;0.0197;0.0263;0.0164;0.3021;0.0164;0.0066;0.1445;0.0115;0.0181;0;0.1215;0.1823;0.0049;0.0969
PEC ¹55;1674;721;8;8;721;0;20;0.0178;0.037;0.0123;0.3114;0.0178;0.0027;0.1646;0.0055;0.0192;0.0014;0.118;0.1427;0.0041;0.118
PEC ¹18;1469;694;5;5;692;2;20;0.0273;0.0344;0.0258;0.3171;0.0143;0.0014;0.1449;0.0072;0.0201;0.0029;0.1119;0.1363;0.0172;0.1105
PEC ¹22;1736;676;1;1;673;3;20;0.0297;0.0282;0.0312;0.3234;0.0074;0.0089;0.135;0.0089;0.0312;0;0.1024;0.1543;0.0223;0.0875
PEC ¹93;1715;758;4;4;758;0;20;0.0144;0.0131;0.0184;0.3281;0.0184;0.0026;0.1759;0.0118;0.0197;0.0013;0.1129;0.1549;0.0079;0.0945
PEC ¹21;1921;785;3;3;783;2;20;0.0165;0.0331;0.0229;0.3346;0.0216;0.0013;0.1476;0.0127;0.0254;0.0013;0.1221;0.1514;0.0076;0.0763
PEC ¹23;1680;768;11;11;766;2;20;0.018;0.0142;0.0219;0.3475;0.0193;0.0013;0.1441;0.009;0.027;0.0026;0.1184;0.1454;0.0193;0.0862
PEC ¹91;200;105;26;26;105;0;20;0.0305;0.0229;0.0687;0.3588;0;0;0.1679;0;0;0;0.0153;0.0992;0;0.084
PEC ¹213;1519;567;62;62;567;0;20;0.0175;0.0095;0.0382;0.3768;0.0016;0.0048;0.2719;0.0079;0.0079;0.0016;0.035;0.1017;0.0032;0.0906
