Comission;Voters;Com_Ballots;Home_Ballots;Home_B_Box;Com_B_Box;Absentee;Invalid;Rodina;Kommunisty_Rossii;Pensionery;United_Russia;Zelenye;Civic_Platform;LDPR;PARNAS;Partiia_Rosta;Civic_Power;YABLOKO;KPRF;Patriots_of_Russia;A_Just_Russia
PEC ¹402;109;51;8;8;51;0;1;0.0339;0.0339;0;0.6102;0;0;0.1356;0.0169;0;0;0.0169;0.0678;0;0.0847
PEC ¹446;118;39;14;14;39;0;1;0;0.0377;0;0.6226;0.0377;0;0.1321;0;0;0;0.0377;0.0755;0;0.0566
PEC ¹313;117;46;9;9;46;0;1;0.0182;0;0;0.6364;0;0;0.1818;0;0;0;0;0.1091;0;0.0364
PEC ¹443;213;48;8;18;48;-10;1;0;0.0152;0.0303;0.6515;0;0;0.1364;0.0152;0;0;0;0.1061;0;0.0303
PEC ¹543;138;50;14;14;50;0;1;0.0156;0;0.0625;0.6719;0;0;0.1719;0;0.0156;0;0.0156;0.0313;0;0.0156
PEC ¹509;120;46;20;20;46;0;1;0;0;0.0152;0.6818;0;0;0.0455;0.0152;0;0;0.0303;0.1364;0;0.0606
PEC ¹193;117;71;1;0;71;0;1;0.0282;0;0;0.6901;0;0;0.1972;0;0;0;0.0141;0.0563;0;0.0141
PEC ¹145;258;51;20;20;51;0;2;0.0282;0;0.0141;0.338;0.0141;0;0.2113;0;0;0;0.0141;0.0845;0;0.2676
PEC ¹544;329;79;38;38;79;0;2;0.0085;0.0256;0.0513;0.359;0.0171;0;0.2222;0.0171;0.0085;0;0.0769;0.1282;0.0085;0.0598
PEC ¹372;135;33;3;3;33;0;2;0;0;0;0.3611;0;0;0.1944;0;0.0278;0;0.0556;0.2222;0;0.0833
PEC ¹415;147;48;4;4;48;0;2;0.0192;0;0.0385;0.3654;0.0192;0;0.2308;0;0;0;0.0385;0.2308;0;0.0192
PEC ¹497;247;84;3;3;84;0;2;0.023;0.0575;0;0.3678;0.0115;0;0.2299;0;0;0;0.046;0.2069;0;0.0345
PEC ¹148;511;151;23;23;151;0;2;0.0057;0.0057;0.0172;0.3908;0;0;0.1494;0.0115;0.023;0;0.0057;0.0345;0.0057;0.3391
PEC ¹360;335;86;27;27;86;0;2;0;0.0619;0.0442;0.4159;0;0;0.1239;0.0088;0;0;0.115;0.115;0;0.0973
PEC ¹409;170;68;3;3;68;0;2;0;0.0141;0;0.4366;0;0;0.3521;0;0;0;0;0.1268;0.0282;0.0141
PEC ¹259;141;64;4;4;64;0;2;0.0441;0;0.0441;0.4412;0.0147;0.0147;0.1176;0;0.0147;0;0.0441;0.0882;0;0.1471
PEC ¹405;163;73;4;4;73;0;2;0;0.026;0.013;0.4416;0.013;0;0.3766;0;0;0;0;0.0649;0.013;0.026
PEC ¹260;82;35;9;9;35;0;2;0;0;0.0455;0.4545;0;0;0.1136;0;0;0;0.0227;0.0455;0;0.2727
PEC ¹475;87;28;1;0;28;0;2;0;0.0357;0.0357;0.4643;0;0.0357;0.2857;0;0;0;0.0714;0;0;0
PEC ¹429;330;100;13;13;100;0;2;0.0177;0.0265;0.0442;0.469;0.0088;0;0.1062;0;0.0177;0;0;0.1504;0;0.1416
PEC ¹219;355;165;12;31;165;-19;2;0.0204;0.0255;0.051;0.4694;0.0051;0.0051;0.2245;0;0.0051;0;0.0306;0.0663;0.0051;0.0816
PEC ¹281;305;102;23;28;102;-5;2;0;0.0385;0.0538;0.4769;0;0;0.1923;0;0.0308;0;0.0231;0.1462;0.0077;0.0154
PEC ¹310;136;41;13;13;41;0;2;0;0;0.0556;0.4815;0;0;0.2778;0;0.0185;0;0.037;0.0556;0;0.037
PEC ¹478;206;49;15;40;49;-25;2;0.0112;0.0225;0.0112;0.4831;0;0;0.2472;0;0;0;0.0337;0.1348;0;0.0337
PEC ¹504;149;46;7;7;46;0;2;0;0.0189;0;0.4906;0;0;0.2453;0;0;0;0.1132;0.0566;0;0.0377
PEC ¹381;194;58;16;16;58;0;2;0.0135;0.0135;0.0135;0.527;0;0.027;0.1892;0;0.0135;0;0.0135;0.0811;0;0.0811
PEC ¹473;385;72;16;16;72;0;2;0.0114;0.0227;0.0114;0.5341;0;0;0.2159;0.0227;0.0114;0;0.0341;0.0568;0;0.0568
PEC ¹438;381;154;16;16;153;1;2;0.0059;0.0355;0.0473;0.5444;0;0.0059;0.1716;0;0.0059;0;0.0178;0.0828;0.0118;0.0592
