Gender;Age;Satisfaction;Participation;Vote;Duma;Violation;Observers;Obs_elections;Trust_Putin;Protest;Education;FO;Region;wes_total_reg
2;41;5;1; ; ;1;1;1;2;1;6;2;67;1.20252029
1;40;5;1;1;3; ;2;2;1; ;1;4;23;0.867284381
2;31;1;1;5;1; ;1;2;1;1;6;4;5;0.609881415
2;22;4;1;1;3;1;1;1; ;1;4;4;34;1.229532252
1;52;3;2;5;1;1;1;1;1;1;6;2;67;0.667857728
1;65;1;1;5;1;1;1;2;1;2;3;2;68;0.70659849
1;29;2;3;5; ;1;1;1;1;2;3;4;30;2.730467592
2;24; ; ; ;9;1;1;2;1;2;6;2;36;1.188059934
2;36;3;1;5;1;3; ;2;1;1;1;4;23;1.244497385
2;50;2;1;5;1;3;1;2;1;2;4;2;31;1.20235338
1;52;2;1;5;1;1;1;1;1;1;4;4;23;1.332183367
1;27;3;1;5;9;1;1;1;1;1;4;2;36;1.230541623
1;45;5;1;4;7;2; ;1;2;1;6;4;61;0.94655134
1;46;2;2;5;8;3; ;2;1;2;5;4;23;1.775360899
1;50;1;4;5;9; ;3;2;2;1;6;2;50;0.638729766
1;44;2;2; ; ;1;3;1;1; ;4;4;23;1.781196955
2;53;1;1; ;9; ;1;2;1;2;4;4;23;0.581722562
2;60;1;3;5;9; ;3;2;1;2;4;4;1;0.475698934
1;70;2;1;2;6; ;1;2;1;2;2;4;61;0.731264145
2;70;2;1;5; ;1; ;1;1;2;6;4;61;0.389858686
2;56;1;1;5; ;1;1;1;1;1;6;2;77;0.920281082
1;71;1;3;2;9;1;2;1;1;1;1;4;61;1.03041766
2;18;2;1;5;9; ;3;2; ;2;2;4;61;1.229532252
2;28;3;2; ;9; ;1;3; ;2;4;2;36;0.492574739
1;41;2;1;2;2; ;1;1;2;1;2;4;34;0.820056024
1;34;5;5; ;9;2;2;1;2;1;6;4;61;2.534159465
1;22;3;5;5;1;1;1;1;1; ;2;2;50;0.807148163
2;53;1;1;5;1; ;1;2;1; ;6;2;44;0.76155615
2;27;3;1;5;9; ;1;1;1;1;5;4;30;0.506670714
2;68;2;1;3;1;1;1;2;1;2;1;4;61;1.155252764
1;65;1;1;5;6;1;1;1;1;2;6;4;23;0.731264145
2;54;4;1;5;1;1;1;1;1;2;6;4;8;0.581722562
2;27;2;2; ;9;2; ;2;2;1;6;4;61;1.107240931
1;22;2;3;5;9; ;1;1;1;1;4;4;34;1.416665534
1;28;2;1;4;3;2;1;2;2;1;2;4;23;0.636748438
1;18;1;4; ;2;1; ;2;2;2;2;2;67;0.821218783
1;20;1;2;4;3; ;1;1;2;1;5;4;34;1.196135229
2;78;2;1; ; ;1;1;2;1;2;2;4;34;0.28775284
2;29;3;2;5;9;1;3;2;1;2;4;2;31;1.178620036
2;80;2;2; ; ; ;3;3;1;2;6;2;77;0.726266139
2;65;1;1;5;1; ; ;1;1;2;4;2;36;0.278046891
2;28;2;1;5;1;1;1;1;1;1;5;4;23;1.21976283
1;66;2;1;5;1;1;2;2;1;2;2;4;23;3.091252979
2;62;2;1; ;1;2;1;2;2;2;6;4;61;0.850496735
1;50;4;1;5;1;1; ;1;1;1;4;4;23;0.266436673
2;55;5;1;4;5;2;3;2; ; ;2;4;30;0.604371596
2;46;3;5; ;9; ;3;2;1;2;4;2;50;0.839666226
2;42;3;1; ;3;1;1;2;2;1;6;2;62;0.854422312
2;43;3;1;5;1;1;1;1;1;1;4;2;77;1.636634718
2;53; ;1; ;3;2;3;2;2;1;6;2;77;0.551478963
2;66;3;1;3;1;1;3;2;2;2;4;4;34;0.82083749
2;30;2;3;5;9;1;1; ;1;2;2;4;61;0.86667359
1;23;3;1;5;1;3;1;1;1;1;4;4;34;0.398711743
1;36;1;1;5;9; ;2;2;1; ;6;2;36;1.732292983
2;44;3;1;5;1; ;1;1;1;2;4;4;61;0.884248142
1;53;5;1;1;3; ;1;1;1; ;2;4;34;1.656281815
2;37;3;3;5;9;1;1;2;1;2;4;2;68;1.20252029
1;60;1;1;2;2;1;1;1;1;2;2;4;34;1.280945545
2;26;3;1; ;6;2;1;1; ;2;4;4;23;1.255773251
2;50;2;1;5;1;1;1;1;1;2;4;2;40;0.499439096
2;57;2;1;2;2;1;1;2;1;2;4;2;71;0.459653533
2;80; ;1;4;7;2;1;1;2;1;6;2;77;0.532595169
2;55;2;1;5;1;1;1;1;1;2;6;4;61;1.196995405
1;63;3;1; ;6; ;1;2; ;1;2;2;36;1.237739049
1;24; ;1; ;1;1;1;1;1;1;4;4;61;1.196135229
2;50;5;1;3;3;2;2;2;2;1;4;4;30;0.884125408
2;61;5;1;5;1; ;3;2;1;1;4;4;61;0.850496735
2;72;2;1;5;6;1;3;2;1;2;4;4;23;0.82083749
1;24;1;2; ; ;1;1;2; ;2;4;4;61;1.196135229
2;58;2;1;5;1; ;1;1;1;1;6;4;34;0.497213476
1;20;3;1; ;7;2;2;2;2;1;2;2;48;0.821218783
2;44;2;1;4;8;2; ;1;2;2;6;2;77;0.956801835
1;57;5;1;2;2;2;1;1;2;2;6;4;23;0.375929671
2;21;1;1; ; ;3;1;2;2;2;5;2;77;3.881291248
1;27;3;4; ;9; ;1;2; ;1;5;4;23;0.373743648
1;48;3;1; ;7;2;1;1;1;1;6;4;23;0.94655134
2;23;3;1; ; ;2; ;1; ;2;5;4;34;0.873615021
2;30;3;4; ;9; ; ;1;1;1;6;4;34;0.609881415
2;42;2;2;5;1;1;1;1;1;2;4;4;61;0.884248142
2;51;4;1; ;2; ;3;1;2;2;4;7;24;0.581722562
2;60;2;1;5;1;1;1;1;1;2;6;2;50;0.407827988
2;29;2;1;5;9;3;3;3;1;2;2;4;34;0.506670714
1;55;3;1;2;2; ;1;1;1; ;4;4;23;0.256189109
1;18; ;1;5;9;1;1;1;1;2;6;4;61;1.196135229
2;29;4;5; ;9; ;3;1;2;1;6;4;34;0.40658761
2;64;2;1;5;1;1;1;1;1;2;3;7;54;0.497213476
1;52;3;1; ; ; ;1;2; ;2;2;4;23;1.332183367
1;69;2;1;5;1;1;1;1;1;2;4;7;38;0.365632073
1;30;2;2;1;2; ;1;2;1;2; ;4;61;1.273496875
2;25;2;2;4;1; ;1;1;2;2;6;4;23;1.21976283
1;31;4;2;2;2;1;1;2;1;2;1;4;23;0.904853043
1;26;4;2;4;9;2;1;2;2;1;6;4;30;0.424498958
1;20;1;1;1;3; ;1;1;1;2;6;4;23;1.196135229
2;67;2;1;5;1;1;1;1;1;1;4;4;23;1.155252764
1;30;3;2; ;2;2;2;1;2;1;6;2;37;1.319184243
2;43;4;2;2;2;1;1;2;1;2;4;4;61;0.884248142
2;75;4;1;5; ; ;3;2;1;1;4;7;38;1.155252764
1;40;2;2; ;9;3;1;1;1;2;2;2;77;4.3183133
1;33;3;2; ;7;2;2;2;2;1;6;2;77;4.690417957
2;42;3;1;5;1;1;1;1;1;1;2;2;36;1.20252029
2;58;5;1;5;1;2;1;2;1;2;4;4;34;0.497213476
1;32;2;2; ;9;1;1; ;1;1;6;2;50;1.406647917
1;20;1;3;1;9; ;1; ;1;1;2;7;70;0.849885558
2;34;4;2; ; ;1;1;1;1;2;6;2;71;0.759542727
2;54;4;1; ;1;1;1;1;1; ;6;2;62;0.540646733
2;20;3;1;5;9; ;3;1;1;1;4;4;34;1.229532252
2;26;2;4;1;9;1;1;1;1;1;4;4;30;1.21976283
1;70;3;1;5;1;1;1;1;1;2;4;4;61;0.928191508
2;75;1;1;5;1; ;3;1;1;2;4;7;55;0.28775284
2;36;3;1; ;2;3; ;1;2;1;6;2;71;0.999442941
2;61;2;1; ;1; ;1;2;1;2;4;4;23;1.196995405
2;60;3;1;5;1; ;1;2;1;2;4;4;61;1.196995405
1;47;4;1;5;6;2;2;1;1;1;4;4;23;1.332183367
1;40;2;1; ; ;2;2;2; ;2;4;4;61;1.015403591
2;69;3;1;5;1;1;1;2;1;2;6;7;55;1.098692662
2;41;1;5; ;9; ; ;2;1;2;6;4;30;0.516945067
2;73;3;1; ;7;1;3;1;1;2;6;2;76;0.530816792
1;72;4;2;4;9;3;1;2;1;1;4;7;70;0.731264145
1;44; ;1;1;9;1;3;1;2;2;4;4;23;0.593620561
2;51;5;1; ; ;1;1;1;1;2;2;2;68;0.76155615
1;45;5;3; ;1; ;1;2; ;2;2;4;23;0.94655134
1;24;2;1;5;9;1;1;1;1;2;1;4;61;1.196135229
1;18;2;2;2;9;3;3;1;2; ;1;7;70;2.333331468
2;73;3;1; ;2; ;3;2;1;2;6;2;57;0.376708691
2;55;5;1;4;7;1;2;1;2;1;6;4;23;1.196995405
1;61;5;2;3; ;2;1; ;2;1;6;2;77;1.965351186
2;47;1;2;5;1; ;1;1;1;2;4;4;61;1.244324648
2;45;1; ;5;9; ;1;1;1;2;2;2;69;0.76155615
1;36;3;2;5;1;1;1;2;1;2;4;4;23;1.429086536
1;51;3;1;5;1;1; ;1;1;2;4;4;34;1.332183367
2;51;4;1;5;1;1;1;1;1; ;3;2;37;1.20235338
2;80;2;1;2;2;1;3;2;1; ;6;2;77;0.916762176
1;84;2;1; ; ; ;3; ; ;2;4;2;62;2.986984525
2;30;1;1;5;1;1;1;1;1;2;1;4;34;0.506670714
1;35;2;1;1;3;1;3;2;2;1;2;4;23;1.429086536
2;23;2;1;5;1;1;2;2;1;2;6;4;23;1.229532252
2;78;4;1;5;2; ; ;1;1;2;4;7;54;0.194929343
2;37;2;2; ; ;1;1;1;1;2;6;4;30;1.244497385
2;52;3;1;5;1; ;3;2;1;1;6;7;42;1.001325722
2;32;3;1; ;1;1;1; ; ;1;4;7;55;1.21976283
1;66;2;1; ;7; ; ;2;1;2;2;2;76;0.521536981
1;41;1;2;5;9; ;1;2;1;1;4;2;77;1.098718758
2;23;1;1;5;1;1;1;1;1;2;5;2;71;1.188059934
1;72;2;1;5;6;1;1;2;1;2;6;2;50;0.493454667
1;24;4;2; ;3;2;2;2;2;1;6;2;77;2.326628978
2;72;5;1; ;1;1;1; ; ;2;2;4;34;0.82083749
2;51;2;1;5;1;1;1;1;1;2;6;2;69;3.219305544
2;34;3;2;5;9; ;1;2;1;2;5;4;34;1.21976283
1;30;1;1;5;1;1;1;1;1;2;6;5;20;0.636748438
2;39;1;1;5;1;1;1;2;1;2;6;4;34;1.244497385
2;64;1;1;4;7;2; ;2; ;1;6;7;54;0.497213476
1;40;3;1; ;9;2; ;2;1;2;4;2;77;1.879387349
2;49;3;1;5;1;1;1;1;1;2;4;2;33;0.863716121
2;53;1;1;5;1;1;1;1;1;2;4;2;50;0.646543871
2;19;1;1;5;1;1;1;1;1;2;5;4;23;1.229532252
2;58;3;1;2;3;2; ;1; ;1;6;2;50;0.390235408
2;55; ;2;5;1; ;1;1;1;1;2;4;23;0.850496735
2;57;2;1; ;6; ;1;1;2; ;6;2;77;1.118617604
1;23;2;2;5;9; ; ;2;1;2;5;2;77;2.213899415
1;59;2;1;5;1; ; ;2;1;2;4;2;36;2.207523801
2;50;5;5; ;9; ;3;2; ;2;4;4;23;0.414774883
1;58;4; ;5;9; ;1;2;1; ;6;2;69;0.618869524
2; ;1;1;5;1;1;1;1;1;2;6;4;23;0.82083749
2;58;1;1;5;1; ;2;2;1;2;4;7;92;0.475698934
1;21;4;1;4;9;1;1;2;1;2;3;4;61;1.196135229
1;55;3;1;5;1;1;1;1;1;2;2;4;61;0.910145519
1;27;1;5; ;9;2; ;1;1;1;4;5;5;0.636748438
1;40;3;1;3;6; ;3;1;2;1;4;2;77;1.098718758
1;20;3;1;5;2;1;1;1;1;2;5;2;76;0.480097135
1;34;1;2;5;1;1;1;1;1;2;4;2;62;0.27919852
2;56;3;1;5;9; ;1;2;1;2;3;4;34;1.196995405
2;40;3;1; ;1; ;1;1;1;2;2;7;54;1.244497385
1;22;4;1; ;2;1;3; ; ;1;4;2;36;0.480097135
1;49;2;1;5;1;1;1;1;1;2;4;2;46;1.287248611
2;22;3;2;2;9;2;3;1;2;1;5;2;37;1.890360511
1;29;3;3;2;2;2; ;2; ;2;4;2;50;0.85935155
2;37;3;1;5;1;3;1; ;1;2;6;4;23;0.516945067
1;19;2;1; ; ;3;3;2;1;2;4;5;26;0.598067615
1;20;2;3; ;9; ;1;1;1;1;2;4;23;1.196135229
2;46;4;1;5;1;1;1;1;1;2;4;2;77;1.853330942
1;32;5;2;5;1;1;1;1;1;2;4;2;50;0.286450517
1;21;1;1;5;3;3;1;1;1;1;2;5;26;1.196135229
1;30;3;1;5;6;3;1;1;1;2;6;4;23;0.904853043
2;21;1;1; ;1;3;1;1;1;2;5;4;61;0.360840987
2;50;3;1;2;9;1;1;2;1;2;4;2;68;3.219305544
2;38;3;1;5;1;1;1;2;1; ;6;2;48;0.881229259
2;54;4;1; ;1;1;3;2; ;1;4;5;26;0.884125408
2;57; ; ;5;9;2;3;1;1;1;4;5;20;1.196995405
2;39;1;1;5;9;1;1;1;1;2;6;2;50;0.748143622
2;63;2;1;5;1;1;1;2;1;2;2;2;77;4.962594462
2;51;5;4; ;9;3;1;1;2;2;4;2;62;0.863716121
2;48;1;1;5;1;1;1; ;1;2;4;2;40;0.332510432
2;28;5;1; ; ;2; ;2; ;2;6;5;26;1.255773251
1;57;1;1;5;1;1;1;2;1;2;6;5;6;0.640472773
2;38;5;2; ;1; ;1;2;1;1;2;4;23;0.884248142
1;23;2;2;5;9; ; ;2;1;2;4;2;36;0.821218783
1;57;3;1;2;9;2;2; ;2;2;2;2;67;0.783314897
1;18; ;1;5; ; ;3;3;1; ;2;5;20;1.196135229
2;59;1; ;5;9; ;1;2;1;2;4;2;76;1.15662056
1;27;5;1;4;9;2;2;2;2;1;5;5;26;0.904853043
2;54;2; ;5;9;1; ;2;1;2;4;5;26;0.516176358
1;41;1;1;5;3; ;3;2;1;2;6;5;26;1.015403591
2;70;3;1;5;1;1;1;1;1;2;6;5;5;2.746731654
2;54;3;1;5;1;1;2;2;1;1;4;5;26;0.788140246
2;27;4;1;5;1;3;1;2;1;2;2;5;15;0.86667359
2;22;4;1;2;2;3;1;2;1;1;6;5;15;1.175242295
2;33;2;1; ; ;2; ;1;2;1;6;4;23;0.86667359
2;75;5;1;2;2; ;1;3;1;2;1;5;15;1.155252764
2;41;2;1;5;2;2;2;2;1;2;2;5;26;1.244497385
2;49; ;1;5;1;3;1;1;1;1;4;5;26;0.884125408
1;58;3;1; ; ; ;1;2;1;2;6;5;26;1.280945545
2;62;5;1;5;6;1;3;1;1;2;6;1;60;0.850496735
2;50;2;1;5;6;1;2;2; ;2;6;1;47;0.647306102
1;38;5;1;2;2; ;1;2;2;1;4;5;7;1.213562761
2;38;3;2;4;9; ;2;1;1;1;6;1;78;0.323151002
2;37;1;3;5;9; ;3;2; ;2;4;5;5;1.244497385
1;35;1;1; ;1; ;1;1;1; ;6;1;78;0.817755073
2;21;2;1;4;7;2;2;2;2; ;5;1;78;1.407131355
2;41;4;1;5;1;1;1; ;1;2;4;5;15;1.244497385
2;45;1;1;5;1;1;1;2;1;2;6;2;67;0.854303718
1;30;1;2;5;9; ; ;2;1;2;5;1;78;1.035554038
2;64;1;1;5;1;1;1;1;1;1;4;5;20;1.196995405
2;53;2;1;5;1;1;1;1;1;2;4;1;78;1.011832411
2;38;4;2; ; ;1;2;1; ;1;6;5;26;0.419876978
2;48;3;1;5;9; ; ;2;1;1;4;5;26;0.622162324
1;52;4;1; ;6;1;1;2; ;2;6;5;26;1.656281815
2;58;2;1;5;3;1;1;1;1;2;2;1;51;0.35129213
2;34;3;2; ;1;1;1;1;1;2;6;5;26;1.21976283
1;23;2;2;5;9; ; ;2;1;2;6;2;77;1.573033795
2;74;2;1;5; ; ;1;2;1;2;4;5;26;1.098692662
2;59;3; ; ;1; ;1;2;2;2;4;1;10;0.850496735
2;68;2;2; ;9; ;3;2;1;2;2;5;26;1.155252764
1;46;1;2;4;9;2;1;2; ;1;6;2;50;0.492728999
1;63;3;1; ;2; ; ;2; ;2;2;2;71;0.888393725
2;80;2;1;5;1;1;1;2;1;2;4;2;48;0.530816792
1;29;3;2;5;9;3; ;2;1;2;2;5;26;0.52899101
2;64;2;1;5;1;1;1;1;1;2;6;5;15;0.539512206
1;24;1;1;5;1;3;1;2;1;1;2;5;6;1.196135229
1;61; ;1;1;1;3;1;2;2;2;2;5;9;3.426874731
2;25;2;2; ;9; ;3;2;1;2;6;5;26;1.21976283
1;19;1;2;5; ;1;1;1;1;2;4;1;51;0.849885558
2;65;1;1;5;1;1;1;1;1;1;4;2;57;0.530816792
2;48;5;1; ; ; ;1; ;1;2;4;2;32;0.76155615
2;30;2;1; ; ; ;1;2;1;2;6;5;15;1.21976283
2;59;4;1; ;6;2;1;1;1;2;6;1;39;0.850496735
2;57;4;1;5;9; ;1;2;1;1;4;2;50;0.236928641
1;27;3;4;1;9;2;2;1;2;1;4;1;53;0.636748438
1;32;3;2;3;1;3;1;2;2;2;4;5;26;1.420243216
1;47;1;2;5;9;3;2;1;1; ;4;2;62;1.411118749
2;43;3;1; ;1; ;1;1;1;2;4;5;26;0.911990856
1;48;5;5; ;2;3;1;2; ;1;2;1;53;0.553368476
1;24;2;3;5;9; ;1;2;1;1;4;1;29;0.598067615
2;50;2;1;5;9; ;1;1;1;2;4;5;7;0.550278099
2;41;3;1;5;1;1;1;1;1;2;6;2;46;0.499508428
1;38;4;1;2;2;2;3;3;2;1;6;1;78;0.679365753
1;41;3;1; ;9;1; ;2; ;1;6;2;77;2.433335272
1;35;2;2;5;1;1;1;1;1;2;4;5;26;1.015403591
2;55;2;1;5;9; ;1;2;1;2;4;2;50;0.390235408
2;29;3;1;5;1; ;2;2;1;2;4;5;15;0.86667359
2;23;1;3; ;9; ;1;1;1;2;6;5;26;2.097000959
2;54;3;4;5;9;2;3;2;1;2; ;5;7;1.032352716
1;46;5;1;5;1;1;1;1;1;2;2;5;6;1.332183367
2;50;5; ;5;9;1;1;2;2;2;2;2;57;0.925813359
2;41;5;2;4;8;3;3;1;2;1;4;1;78;0.591614911
2;36;2;5; ;9;3; ;2;2;1;6;1;78;1.011972873
1;26;1;2;5;9; ; ;1;1;1;2;2;77;1.178543161
2;73;4;1; ;2;1; ;2;2;2;2;5;15;0.549346331
2;32;3;2;5;9;1;1;2;1;2;6;5;9;1.406740527
2;52;1;1; ; ;1;1;2;1;1;4;5;26;0.893866376
2;27;1;1;5;1;1;1;1;1;2;4;1;39;1.21976283
1;54;1;1;5;1;3; ;2;1;2;4;1;29;0.94655134
2;56;2;1;5;9; ;3;1;1;2;6;5;26;0.598497702
1;30;3;1;5;1;1;3;2;1;2;1;1;35;0.52899101
1;28;3;3;5;9; ;1;1;1; ;6;5;15;1.479871748
2;49;5;4; ;9;2;1;2; ;1;4;5;26;1.244324648
1;27;1;3; ;7;3;1;2;1;1;6;1;78;1.457446424
2;40;4;1;5;2; ;1; ;1;1;6;5;15;0.884248142
2;73;2;1;5; ;1;1;1; ; ;4;1;35;0.82083749
2;50;1;1;5;6;1;1;1;1;2;6;2;36;0.462906679
1;47;1;1;5;1;3;1;1;1;2;2;2;77;2.465707811
1;25;2;1;5;1;1;2; ;1;2;6;5;15;0.318374219
2;70;5;1; ;9;1;1;2; ; ;6;2;50;1.112091353
2;45;2;2; ;9;2; ;1;1;1;6;5;26;0.788140246
1;18;5;1;3;3; ;3;1;2;1;5;1;78;0.253154648
1;66;2;5; ;9; ; ;2; ;2;6;2;71;1.262280426
1;71;1;2; ; ;2;2;2;1;1;2;5;26;1.306343604
1;38;3;1;5;9; ;2;1;1;2;6;1;78;1.635510147
1;45;4;4; ;9; ;3;3;1;2;6;1;78;0.447439848
1;31;3;4; ;9; ;3;1; ;2;5;1;47;0.662481692
2;57;4;1; ;1;1;1;1;1;2;4;5;26;1.196995405
2;27;3;1;5;1;2;1;1;1;1;6;5;26;1.255773251
1;55;4;1;5;9;1;3;2;1;2;6;5;26;0.919405416
1;63;3;1;5;1; ;1;1;1;2;6;5;26;0.910145519
2;75;3;1;5;2; ; ;2;1;2;6;2;77;3.050317785
1;53;1;1; ; ;3; ;2;1;2;6;2;50;0.671410943
1;39;2;1;5;1;1; ;2;1;2;3;2;71;0.896677416
1;64;1;1;5;1;1;3;1;1; ;6;5;26;0.910145519
2;21;2;3;5;9;2;2;1;1;1;5;1;78;0.703565677
2;27;3;1;5;1; ; ;2;1;1;6;1;78;0.579856484
1;24;1;1;5;9; ;3;2; ;2;6;1;11;0.299033807
2;20;3;2;5;1; ;1;1;1;1;5;1;29;0.614766126
2;49;1;1;5;1;1;1;1;1; ;2;1;78;0.712030215
2;35;3;1; ;9; ; ;1;1;2;2;5;26;1.108694766
2;64;2;5; ;9; ;3;2;2;2;2;2;77;1.153278995
2;63;1;1;5; ;1;1;2;1;2;2;2;76;1.15662056
1;58;2;1;4;1; ; ;1; ;1;4;1;10;0.910145519
1;36;5;5; ;3;2;2;2;2;1;2;1;39;0.476362179
1;56;2;1; ;1;1;1;1;2;2;6;5;26;0.492753229
1;20;2;1;1;3;3;1;1;1;1;2;1;78;0.972646805
1;21;3;2;5;1; ;1;1;2;1;6;1;39;0.496856172
1;70;5;1; ;2; ;2;1;2;1;4;2;67;0.896883461
1;45;2;1;4;7;3;2;1;1;2;6;1;78;1.083275422
2;18;1;2;5;1;1;3;2;1;2;5;1;35;0.510728781
1;63;3;1;2;2;3;3;1;2;1;2;1;78;1.041610983
2;27;2;3;5;9; ;3;1;1;2;4;1;78;1.395950794
2;89;2;2; ;9; ;3;2;1; ;2;2;36;0.530816792
2;70;5;4; ;6; ; ;2;2; ;4;1;29;0.82083749
1;39;4;1; ; ;1;2;2;2;2;2;1;47;0.743420486
2;31;1;1; ;9; ;3;2;1;2;6;1;47;0.634528878
2;22;5;3;4;9;1;3;2;2;2;5;1;39;1.229532252
1;32;1;1;5;1;1; ;2;1;2;6;7;4;1.273496875
1;60;4;1;2;9;2;2;2;2;2;6;7;2;0.598343207
2;80;1;1;5;1; ;1;2;1;2;1;7;2;0.549346331
2;56;3;1;5;1;1;1; ;1;2;4;7;24;0.578300665
2;65;1;2; ;9; ;1;2; ;2;4;7;42;0.28775284
1;36;4;1;5;9;2;1;1;1;1;1;2;50;0.482171473
2;76;2;1;5;1;1; ;2;1;1;6;7;42;0.549346331
2;31;4;2; ;6;1; ;2;1;1;6;7;22;1.346057602
2;58;3;3;5;9; ;1;2;1;2;4;2;48;0.339268084
2;52;5;1; ;2;1;1;1;2;1;4;7;38;0.788140246
2;37;5;1;5;9;1;1;1;1;2;4;7;38;0.911990856
2;53;1;1;5;1;1;1;1;1;2;4;7;55;0.893866376
2;46;2;1;5;1;1;3;2;1;1;4;7;22;0.958131279
2;60;3;1;5;9;1;1;2;1;2;4;2;50;0.236928641
2;22;3;1; ;1;3;1;2;1;1;5;7;54;2.097000959
2;33;4;1;5;1;1;3;1;1;2;4;7;42;0.509769339
2;41;3;1; ;7;1; ; ;2;1;6;2;50;0.419289283
2;65;4;1;5;1; ;1;1;1;2;5;7;92;0.28775284
2;51;2;1; ;1;1;1;2;1;2;4;2;46;0.76155615
2;52;2;1;3;9;3; ;1;2; ;4;7;22;0.788140246
2;48;4;1;5;1;2;2; ;1;1;4;7;19;0.958131279
2;38;3;1;4;2;2;3;1;2;1;6;7;92;0.597289786
1;19;3;4;3;6;2;2;2;2;1;4;1;29;1.196135229
1;52;3;1; ; ;2; ;1; ; ;2;7;38;0.994982482
1;74; ;1;5;6; ;3;2; ;1;6;2;77;1.353480129
1;57;4;1;2;2;3;1;1;1;1;6;7;22;0.919405416
2;39;2;1; ;2;1;3;2;1;2;6;7;38;1.034331092
2;54;2;1;5;6; ;3;2;1;2;6;2;33;0.76155615
1;52;5;5; ;9;2; ; ; ;1;2;2;50;1.198007761
2;50;1;1;5;1;1;1;1;1;2;5;7;70;3.331683766
1;33;2;1;5;1;1;1;2;1;2;6;7;70;1.365233796
1;30;2;1; ;1;2; ;2;1; ;4;7;42;5.874642395
2;48;3;1;5;1;1;1;1;1;1;4;7;42;0.788140246
1;69;3;1; ; ; ;3;1;1;2;6;2;37;0.70659849
1;81;3;1; ;2;2;2;2; ; ;4;2;71;0.801386092
2;74;1;1;5;7;1;1;2;1;2;4;7;38;0.495312266
2;73;3;1;2;2;1;1;1;2;2;6;7;54;0.28775284
2;31;1;1;5;1;1;1;2;1;1;6;2;31;1.213415819
2;77;2;1;5;1; ;1; ;1;2;1;7;54;0.51065997
2;75;1;1;5;7; ;1;2;1;2;2;7;24;1.648038993
1;39;3;4; ;9;2;2;2;2;2;4;7;38;2.262996132
2;41;3;1; ; ;1;1;2;1;1;5;7;55;2.570156048
2;32;1;2; ;9; ;1;2;1;2;6;7;22;1.107240931
2;22;3;1;3;3;1;1;2;2;2;6;7;70;2.097000959
2;66;2;5;5;9;1;1;1;1;2;4;7;38;1.155252764
2;62;2;1;5;1; ;3;2;1;2;4;7;24;0.351111118
1;19;4;1;5;9;1;1;1;1;2;4;7;24;1.166665734
2;19;1;1;4;6;1;1;2;1;1;5;2;77;1.616954118
2;85;1;1;5;1;1;1;2;1;2;1;7;54;1.648038993
2;70;3;1;5;2; ; ;2;1;2;2;2;32;0.427242784
2;56;4;1; ;1;1;1;2;1;2;4;7;54;0.475698934
1;27;2;1;5;1;3;1;1;1;1;6;7;92;1.365233796
1;43;2;1;5;2;1;3;2;1;2;6;2;67;1.172629096
2;64;1;1;5;1;1;1;1;1;2;1;7;55;0.475698934
1;23;2;2; ; ; ; ;2; ;1;6;3;90;0.496856172
2;33;2;1;2;9;2;2; ;2;1;6;7;22;1.255773251
1;40; ;1;3;6;2;2;1;2;1;6;2;62;0.276176644
2;38;3;2; ;9; ; ;1; ;2;6;7;42;0.911990856
2;32;2;1;1;3;3;2;1;2;1;2;1;47;0.446520322
2;46;2;1;5;1;1;1;2;1;2;6;1;11;0.884125408
2;61;4;1;5;1; ;1;1;1; ;3;3;73;0.604371596
2;42;5;1; ;7; ; ; ;2;1;6;2;77;1.636634718
1;30;3;4; ;9; ; ; ; ;1;2;5;5;2.084550527
2;48;1; ; ; ;1;1;1;1;2;2;3;63;1.001325722
2;46;1;1;4;3;1;1;2;2;1;4;7;24;0.893866376
2;57;3;1; ;6; ; ;1; ;2;4;2;33;0.459653533
2;48;2;1;5;1;1;1;1;1;1;4;7;54;0.958131279
1;52;2;3;5;9;3;2;1;1;2;2;7;42;1.460377514
1;28;5;2;1;9;3;1;1;1;1;5;1;51;0.636748438
1;49;3;1;1;2;3; ; ;2; ;6;2;77;0.55944631
1;80;4;1;2;1;1; ;1;2;1;6;3;63;0.731264145
2;75;5;1;2;2; ;1;2;2;2;4;5;26;0.51065997
2;65;3;2;5;9; ;3;3;1;2;6;2;62;1.061633584
1;47;2;1;5;1;1;1;1;1;2;3;3;52;1.656281815
1;29;4;2; ;3;2; ;2;2;1;6;7;54;1.365233796
2;65;3;1;5; ; ; ;2;1;2;2;3;16;0.495312266
2;34;4;1;5;2;2;1;1; ;1;6;7;24;0.86667359
2;77;4;1;5;1;2; ; ;1;2;4;2;33;0.278046891
1;28;3;2;5; ;1;1;1;1;1;5;3;3;0.904853043
2;62;1;1;5;1;3;1;2;1;2;6;7;55;0.475698934
1;46;1;1;4;6;2;2;1;2;1;4;7;54;0.302260092
1;53;5;5;1;9;2;2;2;2;1;4;3;63;1.332183367
2;40;4;2;3;9;2;1;2;2;2;6;1;78;0.591614911
1;62;3;1;5; ; ; ;2;1;2;1;2;44;1.237739049
1;62;2;2;5;9;1;1;2;1;2;5;7;54;2.284583154
2;26;3;1;5;1;3;1;1;1;2;4;1;11;1.21976283
2;43;1;1;2;3; ;3;1;2;2;4;7;24;1.108694766
2;42;3;4;5;9; ;3;1;1; ;4;2;36;0.499508428
2;58;3;2;3;6;1;1;1;2;2;2;7;22;1.340606087
